Method,Arrival_Rate,Mean Waiting Time
FIFO,0.7,4.099097854094668
FIFO,0.7,2.861207066053903
FIFO,0.7,1.3244275870722793
FIFO,0.7,0.7905844533744466
FIFO,0.7,2.8943448596244283
FIFO,0.7,1.5915436378887713
FIFO,0.7,1.5045193982755272
FIFO,0.7,6.028689669969037
FIFO,0.7,1.854020391240059
FIFO,0.7,1.7390238466959307
FIFO,0.7,4.723995853491048
FIFO,0.7,4.457938604151924
FIFO,0.7,1.7840536331581864
FIFO,0.7,2.716087105783015
FIFO,0.7,2.01842035491908
FIFO,0.7,1.212063376074723
FIFO,0.7,0.952905206082323
FIFO,0.7,1.72640003176093
FIFO,0.7,4.4269196667084625
FIFO,0.7,1.4428767436629824
FIFO,0.7,2.0025139788326434
FIFO,0.7,2.0215474520599694
FIFO,0.7,1.2406866896378268
FIFO,0.7,1.1194522309001809
FIFO,0.7,2.3266296498923387
FIFO,0.7,1.2068926341364457
FIFO,0.7,1.5782817737842576
FIFO,0.7,3.6470785417733005
FIFO,0.7,2.6950416754870448
FIFO,0.7,1.7240674624731873
FIFO,0.7,3.2677452739947577
FIFO,0.7,4.460084510812399
FIFO,0.7,3.266259226998217
FIFO,0.7,1.5048786910533247
FIFO,0.7,0.5885973488713264
FIFO,0.7,2.5192269365838262
FIFO,0.7,3.829940306244493
FIFO,0.7,1.8331143175060227
FIFO,0.7,1.5419316769905094
FIFO,0.7,2.675018293973503
FIFO,0.7,1.5578301662678675
FIFO,0.7,3.1305333018066337
FIFO,0.7,2.883485087020511
FIFO,0.7,1.3278599179696666
FIFO,0.7,2.1445321974252187
FIFO,0.7,3.8289162433453074
FIFO,0.7,2.9759071378703923
FIFO,0.7,3.951525020426196
FIFO,0.7,1.7184883277848224
FIFO,0.7,1.6223412599436267
FIFO,0.8,5.213323906965546
FIFO,0.8,3.4227508615272537
FIFO,0.8,2.612971886386176
FIFO,0.8,1.7205938826212115
FIFO,0.8,4.173112872447428
FIFO,0.8,8.231028142668032
FIFO,0.8,2.461185839548045
FIFO,0.8,26.715317510270555
FIFO,0.8,4.048335494099391
FIFO,0.8,3.0765502679679835
FIFO,0.8,4.647490993549838
FIFO,0.8,1.9090391597732492
FIFO,0.8,5.135572727288099
FIFO,0.8,3.1676123136287306
FIFO,0.8,2.6803305394364396
FIFO,0.8,1.9947422648328317
FIFO,0.8,2.117682908797821
FIFO,0.8,2.9076855143005034
FIFO,0.8,2.2086909909563794
FIFO,0.8,2.3571827897391517
FIFO,0.8,2.0126618462988275
FIFO,0.8,3.7131330561542835
FIFO,0.8,2.2461264663531044
FIFO,0.8,5.1828427637818075
FIFO,0.8,5.3707959677396495
FIFO,0.8,3.252875751121039
FIFO,0.8,2.3659709185519158
FIFO,0.8,3.994504624453673
FIFO,0.8,5.346069740584164
FIFO,0.8,2.225507933729276
FIFO,0.8,6.188957162342478
FIFO,0.8,2.456277565870916
FIFO,0.8,2.8160642274339214
FIFO,0.8,5.324065908210268
FIFO,0.8,1.8900282306464555
FIFO,0.8,2.299484960939199
FIFO,0.8,3.1155243034823505
FIFO,0.8,3.5055013603591676
FIFO,0.8,3.573317118451065
FIFO,0.8,9.254506710588496
FIFO,0.8,3.5142321720732723
FIFO,0.8,3.9616603487996436
FIFO,0.8,1.7874812703668632
FIFO,0.8,3.1610095445793607
FIFO,0.8,3.5929941995194885
FIFO,0.8,1.7104089096111363
FIFO,0.8,2.4458307569417563
FIFO,0.8,1.6362414756355301
FIFO,0.8,1.9494883627037631
FIFO,0.8,2.4975746206304197
FIFO,0.9,13.842693349969817
FIFO,0.9,25.057933410698244
FIFO,0.9,6.441540314417516
FIFO,0.9,15.356509783156385
FIFO,0.9,2.4817706118562186
FIFO,0.9,8.067339905909572
FIFO,0.9,11.141537836682044
FIFO,0.9,5.308451125616381
FIFO,0.9,10.708356589894272
FIFO,0.9,27.16566664269985
FIFO,0.9,23.446308058005133
FIFO,0.9,8.646543007466459
FIFO,0.9,6.141356471098767
FIFO,0.9,4.93588534404241
FIFO,0.9,13.604881222203836
FIFO,0.9,4.858946044763581
FIFO,0.9,9.52480912009726
FIFO,0.9,3.2825068562926685
FIFO,0.9,8.7528910190522
FIFO,0.9,5.003955810657636
FIFO,0.9,4.533784200866253
FIFO,0.9,11.240193799828376
FIFO,0.9,5.583694259253657
FIFO,0.9,10.306189853787208
FIFO,0.9,3.081665294653921
FIFO,0.9,9.113227015904073
FIFO,0.9,6.649906077082417
FIFO,0.9,7.725121274208349
FIFO,0.9,4.93254246712086
FIFO,0.9,3.727599037057943
FIFO,0.9,5.2535166978230015
FIFO,0.9,4.812148513167812
FIFO,0.9,5.829112189714351
FIFO,0.9,3.190298059713718
FIFO,0.9,16.414929762653767
FIFO,0.9,6.708057166270697
FIFO,0.9,35.95301127215001
FIFO,0.9,9.093037868177321
FIFO,0.9,9.95923383890524
FIFO,0.9,2.722551828844564
FIFO,0.9,5.4037263716002695
FIFO,0.9,15.911426563527627
FIFO,0.9,7.612735714386868
FIFO,0.9,5.827822397454368
FIFO,0.9,6.422706434521804
FIFO,0.9,3.9832723063013704
FIFO,0.9,12.492460349610216
FIFO,0.9,3.689278964280225
FIFO,0.9,11.587563357173895
FIFO,0.9,10.766631773097393
FIFO,0.95,31.675643390234768
FIFO,0.95,13.462105705041807
FIFO,0.95,5.318781317499592
FIFO,0.95,4.345874859495552
FIFO,0.95,5.419594252639416
FIFO,0.95,6.116717765852391
FIFO,0.95,33.71918003936837
FIFO,0.95,14.719102993108919
FIFO,0.95,8.01279960449862
FIFO,0.95,11.111931730792763
FIFO,0.95,7.641780647577904
FIFO,0.95,13.906633410649041
FIFO,0.95,8.982559928146138
