Distances (columns correspond to number of iterations)
1,10001,20001,30001,40001,50001
3265.0183877774793,5774.2766057241515,4727.256240603399,4552.123214015475,4328.972405721753,4209.092301716033
2875.243140083183,5829.987048887843,5159.826751001248,4488.686292594202,4565.558506769474,4080.263130636979
3309.761805177089,5395.405231892821,4777.98650646373,4825.224870252251,5091.030114331121,4363.494172810908
3111.876041497505,5764.740203662975,4745.792642609005,4475.896048073958,4380.137676554505,4212.718266089689
3076.0959969854125,5471.100783437808,5722.919561525324,4690.048880568629,4794.492067076099,4143.920840090876
3149.9707463077284,6156.114160648054,5140.368038256376,4635.2482430110285,4221.470166153508,4017.303672081204
2865.258176282937,6338.975900156205,4991.420942906234,4674.718388655871,4576.911088759421,3451.3254240043534
2956.8210790029166,6260.548909592503,4737.54254768516,5023.33702815739,4584.595702570838,4296.976138092988
2975.46668880455,6000.58609902253,6089.494169405648,4938.259300666342,4487.582956348435,4176.878792039722
3231.71408399198,5818.058152250426,5240.147315120114,5032.70849451558,4685.115223962976,4310.420125088073
