Distances (columns correspond to number of iterations)
1,10001,20001,30001,40001,50001
2818.621642239474,6902.122351846938,5864.928230125552,5973.816980122995,5415.574716601853,5077.8259759792445
2814.167831161839,6448.1935076619775,6576.172730441949,5499.675842737751,5569.572165231577,5184.992862841001
3148.392228004667,6556.62217904245,6313.807768055733,6298.29027461724,5449.124383125104,4865.63507112875
3539.6421523173167,7049.209755446107,5843.418476434121,5430.16785660088,5114.750832229933,4904.099404887623
3556.9741373596717,6919.44810371656,6513.985986705091,6177.366154066302,5183.7970532327345,4465.582563053692
2818.621642239474,8031.959695663234,5981.372581338618,5648.502667510505,5092.996904275598,4928.43696971522
2889.2803249239723,7188.467546468404,5740.386170464137,5683.259320849059,5100.164653910698,4947.498143571589
3341.571055111484,6978.066981371558,5611.918998951255,5911.362571090382,5113.158937180944,4896.242132264973
3100.820500531707,7152.467891238565,6844.243124804199,5606.4930422025745,5575.670953796968,4112.8261418445345
2818.621642239474,7483.91172014692,6642.450326758179,5736.737646726147,5074.155888945073,5230.406775624635
