Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001,25001,30001
2889.784830809678,8422.616597322389,6843.099133403052,6146.479931669172,5856.274135755367,6366.6850072493335,5538.594506102643
2818.621642239474,8356.7346642373,6960.279827784866,6517.19860171614,5968.434791031504,6285.531006137252,5847.081957488106
2993.226947715919,8384.918865406084,7797.4030885070215,6624.6654421271105,6562.892560394685,6328.739823633847,5375.96990171789
3555.468445252576,7945.973615063622,6080.721659344486,6365.615616824331,5987.102872305898,5452.810919034924,5454.509080403629
3203.0971410510465,8744.968971930706,5917.113960032042,6789.907769959796,5909.778386142694,5846.6117241207485,5156.968656446559
3277.7106563050265,8565.018035877865,7909.373864699595,6157.938764403495,6490.965608543547,6387.077322369351,5564.995157140289
2928.794043556948,8352.394334618144,6633.832248887842,7220.052800432896,6116.136446034338,6370.847415296667,6063.342758254276
2951.693694413981,6811.2656324903,7003.993422515145,6073.715019253846,7129.692724316033,6262.510733715328,4907.165292104256
3239.8627305258715,7314.051830457195,6492.223666090297,6448.993194029392,5962.2628142028,5936.872823985369,5032.517572709371
3222.638845662789,7028.644189047933,7180.777704946059,6003.066677767516,6887.215530175228,5562.253814914845,5423.720168736064
3669.660269671455,7872.1883453392975,7298.245429153784,6218.861195668426,6187.571543098718,6151.14434759665,5439.724445121737
3500.7061881936706,7758.070442127978,6379.299727700714,7196.907398589471,6042.392795539285,5768.703101656624,5590.476298060925
3007.3206949603846,9124.487620718059,6722.225899283735,6988.961470187937,6274.4128805801865,5801.353255245265,4782.503025497559
2837.04384734133,8532.981006959826,6440.508702582794,6369.066106052154,6057.99152443147,6156.352257483469,5094.172356639926
3366.811260051364,8073.711483316174,7399.469054793919,7262.679402477027,6377.45130013968,6615.502740604881,5787.337907574985
3107.200814778431,8870.794190369306,6404.952663731807,6892.778795305521,5505.227143123271,6192.850909346899,6530.1066386004295
3020.9329645531056,8584.29181269928,6704.919388245458,5890.999507559452,6037.448041224799,5882.032709952281,5449.341797098028
3145.558983486112,8324.200115449545,7473.1819581427535,6614.419100824869,5750.573143548503,5568.214179393578,5922.679574130996
3611.1261238966667,8110.802283146717,6709.803327023678,6024.412428546515,5828.821933968398,5747.427884359276,5987.072487696864
2903.77693661549,7946.451972837093,6751.635049894479,6502.047037416945,6260.012417083946,6006.037094712463,5662.915645724602
2902.800335175461,8610.753482282813,7122.6311536107305,6490.30809565597,5871.5927681165285,5381.3595135843325,5204.671903519259
2863.3391090455466,8153.365558428251,6885.4470858076575,6927.752931542331,6409.007478631497,5871.023048536462,5879.963590320321
3336.771041134939,9223.240234653247,7846.961763092234,5646.271598166556,6126.310361578185,5945.457248217287,6114.103470927221
2995.7587272293217,8583.801671295241,6365.126669968251,8058.599088351864,5559.824153814192,6221.5520214985745,6228.27653705279
3111.9611305554217,8358.793389905524,6490.639332891737,6274.690563507705,5838.404528467033,5542.280370167084,6548.826717046091
3185.1133441701973,8183.887821891188,8153.048724203147,6901.817082610744,5958.411694995552,6276.514521821755,4934.253093776611
3111.5534304618077,8780.044957349099,6698.606480053065,6664.922860399719,5990.765611245028,6188.932374864927,4935.457196673391
3076.5243444586677,8460.146818614045,6604.653112484878,5911.160229193897,6376.936758326014,6195.587218769362,5430.378747549505
3627.906051989842,8792.264493678966,7124.371519524544,6865.019696890305,5799.773144914479,5797.915801529367,5927.234906879169
3358.1318589761195,8145.0920642419005,7479.416647434928,6946.71590713385,5739.677441691472,5972.6244243175,5788.569566013371
