Distances (columns correspond to number of iterations)
1,10001,20001,30001,40001,50001
3239.5487949326644,5968.512745920545,4641.017981597932,4092.044584044346,3677.044314793578,3536.104474428546
3261.2005045073183,5943.667409922463,4772.306613127764,4167.763455928074,3864.719449234992,3729.835045893469
2944.6638894759917,6158.196775293206,4592.515986674007,3988.6913825810902,3654.6282901621403,3642.5025512970406
3267.333615577539,5775.373528991767,4713.913281182296,4097.773742988091,3776.3421525496506,3753.251697643731
2935.3498503846204,5859.351954940394,4365.394711708243,4100.643969596661,3838.1157439517187,3506.0118445594203
2915.1235440256523,5535.970726438647,4443.998675235676,4017.4518296975857,3561.851883293887,3671.028503387331
2966.76838373549,5718.375986340425,4777.129283419391,4247.165246490452,3918.1784642336397,3537.3465890398456
3051.3838552572697,5956.904915913469,4584.878269860431,4101.198380994412,3815.1377831683167,3620.218294673779
3042.5075268704395,5600.456568378941,4800.366100086041,4258.008797073245,3806.1739255875227,3594.7345320133145
2903.8145273648624,5872.096578330556,4806.430297894863,4011.6320534101837,3922.180411459571,3586.5020457257096
