Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001,25001,30001
3082.6477118730068,6736.374763215981,5876.276107772098,5619.229974044303,5191.903492986594,4514.249297826133,4561.824343741291
2955.2309505596727,6040.733522300141,5298.576868798491,4949.35144103701,4730.1477979703695,5181.00548237673,4606.771557396379
3169.013205558971,7502.4055939560685,6273.350127702056,5395.230842378989,5027.544463745486,4769.7339562483985,4854.010656181141
3047.278887916179,6514.0226210103,5896.537066440492,5354.23239383872,4953.101662543497,4271.927954840233,4377.796862477696
2955.51050601214,7549.409189202837,5589.492022387215,6077.708164040464,5550.121351737971,5005.999737312584,4457.10090262424
3013.926964004582,5891.7905372682035,6092.31224971552,5253.068821750772,5588.044723939765,4820.437528384262,4551.458980198623
2916.562513659429,6038.188207328743,6202.842940621234,5223.1037081704935,5535.406643499101,5108.780703197876,4521.512900881963
2910.4999464848356,6540.703720496306,5678.5670075108055,5909.798821707594,4775.118523306394,4528.902392021559,4808.728076598934
3045.9541710707226,6943.045760448521,4848.514819070933,5413.698403633194,4752.0076360905505,4688.647919183457,5165.586759537042
3149.229793341577,6575.947825881603,5766.783917904702,4628.3604725121595,4451.784751456563,4410.060512687097,4232.504675700597
3268.637800118137,6766.190945365278,5909.665384181829,4863.9211651480255,5202.2747776964225,4970.540402944788,4692.335088909769
2923.688246720786,6429.511914408611,5512.1476839653415,5563.27919825736,5598.258103392163,5508.1740155565485,4479.623195230181
3012.949503820724,6521.760065436419,6693.5195106021465,5085.914663597626,4323.345574282789,4616.317396065851,4652.7764871576555
3018.672608316728,7185.23508688485,5225.236093324588,5019.071832616029,5022.112684211042,4879.252997920525,4066.004648099143
2937.235950282053,7709.408935646382,5629.198126939588,5269.938052271731,4692.959229523741,5142.3492491587485,4376.9616936113825
3237.4180130336727,5963.6032410364505,5938.412526846815,5713.427599161293,4565.261922443393,4700.6862994177,4993.712632892039
3025.7105905230433,6899.881294523396,5973.129409132501,5143.7369510388435,5305.253496290013,5296.236040552852,4628.417688105765
3032.0284894292927,6894.562599747433,6100.614374687856,4745.453674768183,5052.04014365679,4604.119692330592,4420.637888359316
2968.372921092778,7426.260492581507,6468.51609205629,5711.884666394722,5008.049908225712,4926.748314472532,4766.264344681996
3013.7339936693784,6627.701570237722,5810.406978126579,5390.944463366772,5341.903342672301,5275.452874101402,5076.103529183828
3013.638646881149,6200.330220136344,5167.363242066759,5759.624795890012,5084.419356300601,4853.898261003427,4550.468668487199
3008.52284079542,6455.413645487159,6447.44841280602,5303.421098489541,5275.7110802722655,5288.160377941095,4452.341853337608
2986.44661644883,6947.8006081141975,5788.541124136263,5926.986091822316,5578.996472837109,4349.818855810211,4894.674739800777
3075.5191323961126,6346.2815179479685,5797.550186299275,6626.8611861951085,5289.849562311698,5104.836525206154,4444.310701448527
3292.3947411908057,6851.976961676974,5908.436658874837,5912.994617763991,5190.929242961408,5018.093196670164,4882.500552045032
3333.0798095235045,7114.256245183967,5420.043166081497,5172.955370747099,5349.465312699208,4706.277969545658,4715.927518961597
3011.1018247751704,6949.090868116564,6140.727439503329,5317.01236312678,5010.1151414041,4752.629040711843,5192.264982468723
3012.6887856305116,7464.943851556654,5947.601826935492,5344.401482736355,4667.6605983028985,4606.292390842545,5225.626035452175
3297.736517034452,6469.066739159105,5828.110045834271,5369.732315306701,5142.484823468662,5101.105528719446,5147.866904896095
2818.621642239474,6954.8626751838165,6067.949606140304,4952.2556717063235,5066.60309050361,5019.657274483619,4548.780221466566
