Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001,25001,30001,35001,40001
3172.5874447446345,6178.469338804144,5552.202788085317,5014.054759977711,5121.388783952773,4682.704835396554,4776.215547929515,4457.450344049169,4187.498697603943
3114.2951577092604,5583.883521870182,6393.225466669139,5770.10391824641,5035.142506409355,4843.141579273773,4194.56350583223,4772.26643389383,4755.725409934334
2925.1024146996147,6717.485845487203,5375.465262137646,6206.060054376695,5004.158318061546,4412.014761932611,4479.202562586678,4818.843251631855,4701.804934352757
3113.4681484444714,6600.968432265755,5950.67036986505,5088.166610416108,4348.420871584647,4864.502772393005,4867.913085435407,4481.953231356963,4475.476638083379
2951.891097295859,7513.098454660805,5539.106070254816,5013.290174323329,5544.759806870266,4767.456438962189,4806.550677821407,4676.485240874395,4270.826244616976
3066.746733747394,6368.866185581961,6108.077250344755,5084.650880848906,4564.183422742317,5152.7945872724895,4539.931132555753,5291.93868177124,3995.8455756447493
3199.3612406449092,6634.200805980505,5696.510373051779,5639.137752662325,5692.789072259607,5339.164986445249,4773.196984127578,4595.335496269167,4112.0940964372785
2919.857959220354,7349.786162092736,6988.1836309386335,4986.5683343054325,4843.622166929386,5489.08297577121,5020.022858384466,4373.650845865412,4478.1005036095
3065.1322987803787,7450.85238614717,5851.358590384433,6029.526487627,5344.966012736465,5239.227192957896,4481.214043085304,4083.0907074626703,4287.08614499476
3195.9893303997037,6932.160263435583,5718.055409059406,6002.004315106578,5634.511269093817,4678.448462781722,4614.3010243708995,4659.941903570169,4474.810373568186
3089.3501809770064,6943.72348967163,5869.831048692439,5541.615311836391,5091.257707335686,5018.410979998856,4970.649858007135,5039.596146796247,4240.331792574324
2898.5389730563447,6251.162551707208,5402.554394892672,5231.340842799745,5123.2124516883805,4698.559263567917,5017.890905225683,4452.0383973111775,4650.4950335637695
3363.606077539634,7041.136439893286,5828.532258525555,6083.398794912832,4964.811312008411,5467.530318566302,4655.9826161838755,4482.4811815889625,4520.198690650558
3132.6616302671528,6337.684903063862,6240.27240895299,5580.568149085708,5569.812246241312,5291.018263941059,4490.660280500498,4813.889182854125,4687.518239575126
3115.1460734105167,5486.482122961576,5318.262794225374,4889.386241139609,5463.095352721338,4487.130132706713,4817.712010436236,4970.047267177564,4140.491632463051
3238.754889118114,7264.3811262906665,6544.487431894695,5998.6626142811865,4949.596634142426,4904.367038722445,4806.9181603646175,4070.2931569377492,4358.14844185481
3114.393959476535,5875.051165312684,5575.90199901196,5441.243532176136,5226.091514651288,4700.107097987719,4401.848074355771,4258.775667162878,3933.021864290813
3117.581770540343,6995.712953959906,5076.762648987091,5684.21222049692,6007.105510680378,5037.053833146429,5207.784502212076,4196.887160814182,4228.566844132311
3258.0257908890744,6043.947323007983,5004.413003898582,5247.613321068968,5620.5380930905185,4447.327191897447,4551.649654254213,4377.337428749925,4512.3013576424
2834.499946484836,6939.482005398043,6289.389662813114,5044.154424501743,4718.711245345496,4564.683954265854,4906.65022220659,5164.466637777368,4620.836275552993
2945.8662373316643,6766.1487197873585,5951.355213217293,5483.429661259574,4695.771171948281,4629.547735702193,5011.7438566900355,4137.597274077488,4172.518461655449
3110.947658305343,6562.029938878588,5829.409652712697,5193.619285102204,4977.1853005716575,4604.66293409647,4967.847273041675,4577.023591801479,4397.2426991305465
3019.2919688306743,6268.043151876553,5983.229178815352,5152.329034119639,4824.886932803283,4900.049465207445,4584.801666182772,4727.292237936206,4455.699931262249
2966.0349386032826,6359.803795668372,6567.023546448837,5225.980422785278,5423.988081720249,5103.347133943301,4792.664956157517,4217.691827604845,4512.900210020273
3043.491951972686,7585.128799986218,5483.0345101792,5518.750680787257,4528.8749309452105,4287.480774648184,4968.540564009653,4185.993833946312,4733.601862138492
3092.805085229339,7002.520788379941,5185.712595825093,5745.543168077419,5009.528306021113,5126.116765049715,5295.297414380054,4789.186995266699,4590.3689375510685
2909.757921539415,6792.5121379362445,6036.0362069065195,4830.035793624926,4385.882474918113,4807.483104642838,5192.793740110435,4774.008720003603,4470.195919512538
3128.092338155868,7680.020532914362,7123.117716952599,5524.408131785255,4397.2727735940625,4811.815389995171,4784.262377754075,4254.58607179764,4338.02802610134
2989.6872440433067,6736.65892383135,5778.8042992051705,5567.002447062481,5218.422833687012,5145.393771774441,5066.699617067883,4562.397867789711,4218.930808491994
2883.3740972025066,5961.828861372759,5851.960085223248,5264.346841418248,5237.036047978939,4860.783193425488,5191.368563941311,4542.871076073478,4464.821506811937
3050.854926901132,6113.247991912013,6079.124363591949,5711.544342335034,4561.806106455704,4802.645550776548,4914.551239382857,4938.473950809064,4563.921708960857
3156.6696216346304,6841.437688375467,5783.771315084036,5036.8350438765165,5105.539060142639,4815.211642562944,5161.410321112392,4612.293400456773,4790.729997966344
3190.391027041054,7341.875503499859,6120.276703546678,6396.282018833447,5806.7086527480415,5169.779069972313,5009.982636949232,4276.969891808933,4396.166759557966
2929.1469405822204,6728.859726036621,6312.747743777982,5341.44890742338,5426.715594218414,5480.0194273908455,4562.985201765009,4143.684268879952,4505.280404971988
2956.8210790029166,7571.239941764121,5978.74367399244,5460.676947568685,4990.122092287504,5453.286410161212,4803.987072417766,5102.508989469778,4866.984306386508
3011.2170930468264,6076.470209575788,5811.081990893159,4914.7673501436575,4897.0549978352665,4272.513179560007,4865.926357311738,5075.430716911738,4515.809395805715
3066.8715682296224,6866.20460786714,6048.819812566938,5669.993893035726,4614.175302077254,4921.940916691756,4530.143375872689,4734.818592657671,4493.72566377395
2978.647390123812,6487.270224842214,5517.2245986631515,5581.776943248921,5173.944035337213,4698.880994843624,4781.19518698351,4526.803846237367,4535.03509481843
2914.7206941685126,6891.872784066672,6223.090382426082,5148.641264861667,5242.242532115891,5196.263068581041,4539.062386755877,4631.243630395956,4182.543248455943
2967.5276808340855,6631.6202246059165,5140.260237723289,5990.513758682246,5080.883692555739,4944.40246331198,4563.229836860656,4674.407859617749,4817.080729406919
3153.274970860106,6453.489432812885,5274.514160099869,5980.302346061677,4767.3448076906825,4871.871350911893,4564.335191005936,4952.304364236503,4317.4729959394635
3097.091140904804,6581.256297434326,5818.751562992043,5482.1892849341575,4448.489226387997,5112.981013310419,4699.443523199746,4992.753881375155,4543.2008361304825
2973.035238828576,7162.366460747057,5118.567329939805,5675.6020758410605,4725.866783626104,4480.990062267619,4660.224120630699,4698.030816296522,4899.529961823542
3106.0332410444244,6656.795835287613,6039.520652886444,5731.260415521946,4747.520665862841,4654.645514738344,5252.007929244426,4663.798886428136,4128.673249749867
3003.8636652281452,6748.667080423307,6398.1811386219915,5713.486127274965,4933.710365541117,5085.901278704335,4619.643017749798,4469.397952045941,4567.398265467381
2933.9008428172738,6628.747811149104,5918.0807217327265,5082.330534472985,5024.67962249753,5195.605942012655,4800.34086207812,4964.468980145639,4448.321824219529
3101.927620858968,6747.22044919192,5204.728338045148,5394.416369202241,5074.366819113934,5340.755297198546,4536.400530111315,4749.032941350435,4304.806058025816
2947.090613313969,6844.380074210206,5289.573869199201,5147.827641507951,5551.17963941988,5050.7084280841345,4813.64662880236,4266.110406237867,4731.07264449782
3147.0025942539114,5844.614335386661,5348.2991123957945,5612.4406245569135,5068.90972981978,4631.135372671877,4539.432706328978,4881.536067062978,4557.339753746499
3296.4985293428804,7226.431022003507,5444.680736301178,5817.614326124199,4715.62588586001,4994.532105133525,5137.6220090359175,4647.772661930876,4262.300652971804
