Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001,25001,30001,35001,40001
2818.621642239474,8492.1662518557,6611.190594559145,6674.718213417004,6636.801296055212,5789.314092382865,6041.675138131948,6080.903223843795,4782.3161293153435
3113.141114396486,8040.90864765052,7375.445399509181,6042.559528298236,6788.567746749336,5628.742784988035,5881.690082719589,5448.439212299016,5642.792723062502
3675.653848704831,8082.904671271783,6844.304397541201,6408.188160037145,6021.781904479059,5381.939280955051,5953.561016067338,5366.2931799849775,5528.806424105481
3375.314821376466,9095.165871526591,6694.749696089605,6788.535295406858,5769.817439898601,5367.171106864542,5315.4237110255335,5699.275119426195,5461.514921460247
2818.621642239474,8044.910334871753,7117.2026207261715,7117.6419183754315,6737.76059069647,5437.127228589048,6011.312009796006,5412.151143668692,4959.055119600994
3674.008785992462,8535.481888242488,7486.203566015218,5873.604291900208,6178.00872569664,5409.8445526600535,6260.073413353999,5645.319121157041,5789.694918004357
3116.7573714089217,7336.549033118899,7890.98058040555,6241.986047251865,5978.352959309613,5361.2475791868865,6299.491146843766,5196.547318154946,5343.216358712212
3256.5869637612177,8051.224112007124,7484.079909470423,5907.705062036589,5832.594931926411,6173.721811771603,6091.565755703869,5328.1796187224745,4958.21013242517
3225.426040033043,8505.12488334954,7264.9105960571,5811.203558842183,6740.572591235112,6491.471064267566,5078.155538028264,5141.4050664506985,5053.824271479655
3254.0817983313714,9628.544037981643,7275.847348847908,5946.127614488986,5740.565597989303,5812.297314713667,5289.979671834931,5410.823670016305,5319.344463990466
3399.090706144057,8667.653109597613,6672.372181784356,6757.406716973655,6158.883057970071,6432.797980554678,5639.394761474944,5758.5587395750545,5412.64797840379
3295.0035882302964,7626.754346910055,7659.995340590456,6850.92913011978,6222.269115190761,6477.716903925917,6223.09452600706,4854.998650935313,4855.839360061278
2848.672596300889,8734.216682845008,6312.218812738782,6235.780615017873,5958.1483737263825,5450.33910230494,5401.168525289803,5813.815690557692,5517.51550536035
3346.1894364347304,9484.08881730495,8505.766952138989,6321.500446725401,6183.905163414284,6237.891724442206,5770.622549756797,5515.924543481567,4748.601344568096
3617.5394917490926,8755.102423409939,7426.645995893145,6469.1890295117155,6298.31342112881,6039.364815205869,6031.461835005097,5783.1307453506315,5528.5667473220865
2890.0731465918316,9613.898670917752,6901.026320552564,6731.175849180196,5806.803742315422,6217.932113826673,5238.384233768824,5453.801654807685,5287.522923194197
3192.949882804554,8908.455458450548,7247.283775073435,5800.355749786049,6541.2912487102585,5482.792340190423,5645.6637679588985,4946.353149228439,5538.759468363695
2848.7642737245333,7553.866079890731,7381.741966627246,6187.8158844562,6386.305798179622,5665.962986177857,5256.874749540128,5608.155698219033,5398.658592942536
3286.0903489598245,6733.894212617778,6876.685769312376,7024.584430267258,5952.545158989209,5975.376191683268,4979.453670262012,5081.339938202993,5736.665700275261
