Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001
3309.496105809759,7380.388480648291,5727.9248454952385,5340.662535909482,4739.743808265472
3082.6760726838493,7351.205926320641,5787.800742178343,5269.76509867554,4666.072674715121
3204.9577889504735,7262.592375064328,6106.377293672313,5251.042658778814,4639.027131317639
3205.7762493375535,7374.038114676453,5772.939040274761,5183.2501839918,4658.762392742203
2878.53506203191,7416.550067362766,5585.006680894731,4980.236846302858,4764.93246281264
3100.7623977093494,6972.033063499829,5542.9725925117245,5276.038640292314,4800.687754773371
3308.2064521378725,7432.060315250651,6077.7446379976745,5249.810483147532,4886.929960642458
3058.3700651424056,6941.788349936107,5955.899143086958,4930.18989896416,4843.882480597289
2853.495031064414,7218.66219731632,6059.865946432625,5213.290865058355,4668.642572368146
2962.6216422394737,7259.483777553331,6111.559276608844,5532.546609945158,4586.165213829219
2880.095206978674,8094.106522583799,5966.911024750242,5311.38903737807,4659.67407006498
3028.7798285878735,6948.01777928789,5954.9121216614,5264.162255202541,4905.912839283167
3013.017179343169,7649.645277819753,6094.658066809956,4907.596131047981,4557.596631821149
3325.63114279691,7274.1131450172925,5842.321915398465,5142.267353907531,4806.085571250484
3130.576817683734,7127.629936655688,5662.0302177596905,5290.804586935174,4966.904083769678
3100.191897774044,6861.620441006362,5847.797595432548,4978.358709992776,4799.811852792728
3124.4166080173736,7589.114841581079,5848.04814610588,4974.7885523734585,4727.760465916385
3161.0052127248005,6976.57984675728,5697.885713687324,5293.184215778678,4659.539577177409
3100.991207273043,7004.715550895995,6116.549182856228,5260.689795497945,4569.295341625576
2992.8922734692865,7147.855415256776,5685.113659333503,5153.634274445545,4608.493699472704
3343.5985292218165,7103.922333218274,5824.540186806279,5350.605986634069,4886.485381070086
3134.975702623349,7755.91637846661,5435.108091601612,5215.619218841362,4845.199894009448
2892.473315376653,7422.09627001993,5507.799364124381,4966.024802805239,4953.73526126349
3028.7936620454775,7635.16621182354,5710.8898829845975,4890.94921973149,4653.991652643744
3269.152806454843,7206.790999324604,5881.903215324943,5260.473156063922,4703.638563783455
2956.504714732845,6924.0991896235,5501.088343531931,4945.422404442189,4777.785070884297
3172.091624250505,7286.514240752334,5829.551054809792,5109.810452186999,4628.676172826415
3051.9149668355135,7284.813111554624,5691.396943363026,5295.623455021673,4817.949899938679
2864.6061550218365,7644.910325343053,5963.372806988287,5297.765058355171,4518.3819993115685
3060.966117810883,7663.661134327949,5502.367684331638,5553.942936881621,4702.373997414249
3114.2111157458817,7394.632708484532,5794.091606071954,5270.083033741686,4362.896581008363
3086.5039632686767,7446.537832620902,5695.09741058544,5308.056402658132,4708.845939387655
2828.5101860594723,7598.052903158795,5934.609240973164,5061.6318905548615,4966.959856235501
3035.5851586964504,7513.500701338222,5805.307178498934,5330.261543500184,4670.500664376312
2889.9313576406225,7681.517150768435,5471.235542515931,4866.696551114923,4487.553044885642
2880.920796687614,7109.645428149146,5390.557447456289,5126.988510077647,4699.444216976526
3088.1667350006696,7042.636711025784,5995.049742080953,4967.267022896404,4715.668119912636
3005.144339436161,7411.947127491076,5550.334945167217,5133.9893367287295,4477.435478026629
3085.504730281948,6947.116328929337,5524.578147414501,5134.492085355508,4678.470581163751
3265.376654435219,7101.805475195468,5580.61419186368,5170.930576037266,4679.69478596464
