Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001
5681.993459227212,4074.235709989076,3255.8263659714326,3084.252972802188,2940.8221227221507
5126.511514149116,3964.572534860507,3331.570348315834,3029.111265179028,2918.518804838611
4609.602886863311,4088.8470253240766,3143.7091190621486,3064.9640157032336,3051.8850965421802
5259.068211445851,3956.249660381201,3287.8332059045906,3015.5674955059526,3034.4548070762767
5179.071152420071,3805.978389975987,3157.388642492179,3090.7426899734364,3038.5842040252573
5191.049070449041,3957.20657416639,3210.6057509424754,3134.875423407081,2892.8337519257257
3986.4261807518237,3881.572940832973,3151.6947214906427,3024.173229084148,2865.370679684309
5131.908468282663,3991.9831682059694,3186.725969046,3076.449030602041,3056.901040190038
5008.898716709622,3886.2421999242156,3228.2294845490837,3105.968780154113,3013.9845836086447
4175.086581430919,3993.036197959533,3260.506188440956,3022.06760618785,3067.5826372248016
4719.936591508218,3930.325496620888,3165.8582864185055,3119.726908558817,2878.748101338881
4612.6825668537895,3982.3796097862974,3250.076333909087,2993.9122883668924,3091.462994525994
4895.712168969279,4191.1824656577255,3282.2445768584416,3118.011040093284,3028.0384957875167
4174.407948309195,3875.1154850937096,3331.7536883656926,3148.6280622534578,2968.1230647161233
5276.501277130927,3973.1421332833347,3198.409157621915,3017.8915955049392,2868.063607378751
4687.044010261951,3926.2336398412313,3209.7623832329045,3107.1888312631727,2899.4262118091456
4807.568767381907,3952.736717558308,3140.1174842724727,3130.8363238306833,3010.918629315892
5546.865926166419,3955.3281252284332,3364.221729213717,3085.433527533637,3026.681597837611
5381.455578063025,3995.949409594651,3204.593562837461,3161.3875787640072,2809.560571043787
4536.506438137993,3800.3571389848385,3298.62159607917,3046.5786329329007,3081.7677824415305
4202.586272179603,3973.3387442928306,3186.7695901782754,3026.631145679874,2852.5309297151
5101.6749310951745,4116.043565695839,3237.5755965008802,2988.8319156789066,3016.69938062492
4661.605641654174,3852.8947032790725,3268.4355857245073,3022.656071135883,2987.8402752219595
4498.919321824014,4047.127041021782,3327.9401866294315,2943.2562142061893,2899.2540156753003
5204.136859826707,4305.865802126716,3361.723027832965,3023.052151198311,2979.9956892327245
5157.573302499722,4029.037180188897,3227.3774183763726,3036.6229858962297,2906.3552546451
5223.1771444787455,4103.043240190231,3123.6938913164786,3070.135364116801,2892.476988357734
4908.254118562638,3924.9820763493644,3254.512652136264,3030.8920853670556,3006.986087176945
4676.009480035243,4337.860720449437,3314.257714056127,3098.264020491244,2932.2439890077526
5273.488548194746,3926.86859169968,3249.507022322845,2948.2695764386553,3004.8062654241803
