Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001,25001,30001
3022.287219386015,7471.7831320062405,5748.019939913047,5415.207401499273,4629.520392880093,4370.8427750114515,3986.131403566687
3140.218967143536,7230.024750105255,5425.221776359021,5022.239117281678,4574.371334796076,4413.659900140779,4127.412852461001
2906.311856326668,7084.856692709533,5473.177776845939,5100.236449685032,4560.828650421824,4410.082272929583,3949.9142821413625
3208.8771655842534,7216.5888482185965,5641.541762255229,5123.550648958458,4513.013020805821,4267.32547294321,4017.2058928228366
3024.953392155879,7517.0493217575995,5839.708240668052,5097.833097653012,4698.590262688869,4321.092870243847,3959.664659375742
2875.0850213804865,7229.5860207241585,5785.363564284929,4998.403306019449,4607.595527093367,4152.8122179149705,4255.615678018394
3123.0973752721143,7584.389630087668,5918.720115251573,5153.298240733089,4521.832408924429,4259.766325760667,3962.6370060975078
3140.001577638689,7791.928504242193,5947.965991962784,5069.730392422418,4356.0887951810555,4221.8804213695885,4255.727636530979
2910.906905209592,7192.603247248864,5787.943536174847,5028.588861791051,4789.116035868528,4454.426082993064,4145.871647802349
3178.7067389928548,7627.230626604638,6075.67101383985,5156.717850812171,4865.260467174474,4438.847929869483,4493.517727893004
3061.765520094797,7072.167223017444,5745.946388130398,5127.8714422182875,4743.493738513344,4409.193674069589,4007.3028201739853
2963.176171586892,7353.586780596818,5425.7461822506775,5423.6634046561485,4671.305491153262,4394.283057768692,3948.3850173977694
3111.4595295770655,7358.050261910341,5847.819260049832,5022.791731426575,4907.861577872604,4582.239292318966,4127.402461136763
2975.6151722237314,6816.087014547345,5701.7778833065495,5248.59032535427,4482.930947566553,4405.222060509879,4246.051698073126
3147.45783523551,6763.652921638961,5984.269559055466,4830.757256405462,4619.307337545364,4395.696749475801,4358.7062355911285
3164.1470176853313,6975.631776973119,5969.295888309867,5146.309215243697,4694.735831182102,4293.126394178957,4177.5404734342565
3189.834208572825,7406.95107948805,5880.367170679977,4934.345710303682,4581.981616081296,4240.357554768138,4225.162832384933
3084.783345895069,7903.322166874036,5537.125839119895,5327.676589839782,4652.350194589482,4449.8161134895945,4047.3622751282887
2981.5070804394577,7476.793752459204,5844.58966414001,5275.942463807288,4811.832599773627,4450.454243484534,4022.7775718954604
3002.5574353588618,7082.614387845771,5762.723377874863,4832.059589410652,4470.590576155153,4316.382510105371,4064.8210665508414
2915.758727229322,8411.749238825882,5813.167147923481,5085.812799260512,4702.8787665392965,4322.373941166409,4060.371043773526
3130.1930511936966,7434.079568202468,5810.553385130457,4798.18209861734,4501.021282914185,4597.306928904323,4089.466022597747
2976.6207941751795,7545.914174231789,5965.621163683891,4992.78034543764,4766.094884171991,4353.996539699834,3892.82159938619
3088.860734647418,7376.157222673318,5848.618889578539,5296.1786432948265,4447.815840188232,4519.2096226164795,4055.5805315095986
2945.2823411400145,6328.763623408682,5953.045564926528,5069.003163320527,4613.442820847389,4421.388654486913,4222.911799411002
3296.22501872764,7648.598606795073,5921.212072887825,4861.637516093111,4613.022496579098,4205.182563392545,4021.970041713846
3066.4969090730488,7090.955343212365,5538.195000442182,5423.607980110255,4622.927683474196,4086.485518438038,4154.074497772546
2833.9296847533674,6719.39809066223,6029.749874962412,5117.329582497131,4930.156426903288,4179.71946472432,4182.67811531758
3059.175822970472,7035.7605531614245,6138.996774257129,5113.559781030308,4673.670308311894,4451.440455273225,3977.6144958416826
2946.6216422394737,7105.499718957617,5827.624163804066,5001.841118093071,4877.216695821282,4427.8231732773975,4139.236411230978
