Distances (columns correspond to number of iterations)
1,3501,7001,10501,14001,17501,21001,24501,28001
3801.208996764428,28329.788398885335,26958.19498786257,23581.162769831906,23179.446876499806,20844.24141570239,21102.332512522302,18784.480605071712,19028.30678285316
3331.3104328322215,29370.44066592118,25265.769546923002,23382.48380068743,22837.891046835095,22216.49803704924,20515.839449349878,20538.765058447232,18463.48332162529
3159.2047837244336,29931.32462247309,26909.006367787686,25635.04742640514,23693.336512107246,21643.453441125934,21977.666674731958,20657.782361457117,19318.25797624703
3516.50951766153,30566.325328774477,26588.884390892847,24073.50257205466,22746.780937529118,22551.861256656095,21279.48619876343,21235.380240099897,19564.85938623837
3836.520173981997,29308.69100845889,26016.35284483779,25998.10489744509,22509.181809454185,21842.581258049075,21961.678554433445,21438.65431789579,19095.62151054985
3466.3153794975183,28400.772739147735,25257.078589339406,23973.209537856106,23764.35118950565,21239.90278862626,20636.335065245712,19306.458261821328,18444.052630554866
3506.6004290652154,29131.606558621545,26753.653889184836,24620.18429141755,23544.87982535172,20797.1958366921,21148.84561415767,20078.039562115744,17964.775669744588
3326.889475483587,28695.649343032885,27342.561829673108,24676.34573979194,21869.65189566747,22267.930683622388,19879.800926127195,19713.08192792735,19760.832668502113
3590.4247727243182,29591.880714574057,26188.62552417379,23978.382667300237,23060.162629413626,19865.100255591024,19854.277724309122,19314.753526006305,19095.900730501806
3648.7117641627283,28881.82799472699,25554.84265844012,25936.836933823943,23391.203915893788,21254.876039498155,21172.133339976695,19985.32272504424,18459.099323211205
3715.3030653760984,28051.454039821125,25363.120367161744,23366.680716335468,21699.22524969034,20825.32562025077,21720.418830309703,20552.236232363404,18743.77265314756
3540.326767121031,30190.700209585564,26929.62097410062,24792.600655863247,21903.826270927828,21590.78605571188,20886.15668715402,18349.124729705516,19244.05121954791
3354.7632796060984,28051.74970978123,26849.34038638386,25574.00239136649,22912.919367408806,22703.003856254203,21415.281763808714,20140.105447003367,19257.98955088036
3059.9779491816157,27341.368171462113,26158.103702251192,23981.87684292106,22563.259208972704,21066.562361052867,20818.758248050413,20692.127726485705,18453.00849578868
3692.066676563821,29368.324434123835,28152.5464806253,24410.068027948404,24031.716942103678,23819.965876750714,20900.009592622533,20995.43045877422,19332.22665924916
3443.1077240064683,29739.54392689721,26168.2925332712,24678.624234603325,22198.95360787224,21176.3637890056,19731.852018495814,20199.574184215624,18792.76133691794
3499.7113186442593,29693.693533021982,25611.345829592614,23951.53426790114,23875.313989514358,21107.45641605596,21448.783993861533,19683.220208841038,19626.44533003259
3386.198953087563,29274.240229819923,25833.761198334494,24699.362965936587,21781.00786120916,21405.830765869076,21100.568172361123,20132.63214626758,18836.422150271163
3521.861293507157,29316.3035465681,25358.69678775794,24066.770941849172,22559.292461499743,21647.04625669622,21538.84247381919,20347.482564832186,19196.29311594644
3796.316231801504,29112.733379005833,26549.930886242397,24655.594150972724,21605.756236852365,21120.559419727626,20802.274760637752,19172.458726397617,18465.70077802233
