Distances (columns correspond to number of iterations)
1,2001,4001,6001,8001,10001
3276.5161452673105,34373.32278969676,32700.267831277193,33351.49317985553,33199.63753064205,34529.44985054494
2898.621642239474,33839.54675478169,32829.83348610838,33737.6559504917,32825.19786762626,33705.19556462882
2907.8739855911563,33606.55827246321,32348.81074208081,34152.08658584465,33223.38332955178,31335.40514395938
2999.2979061164224,33717.57887653737,32810.67632964233,34394.98174593409,34685.50913795319,32264.450109699603
3193.49146193312,34005.66151405541,33959.51361937303,33221.4457431029,32624.30182923982,32012.88172340905
3114.5872583011283,31035.15989414566,33715.67661254801,32548.180737082912,33046.28698807211,32068.99048589311
3003.883814138066,31911.719194173213,32967.39867306276,34059.49811279027,32163.923920626257,33413.10569940881
3106.370597445707,32091.466025653634,32259.89447085322,33360.55542771135,34467.52720768668,33125.33385810455
3346.417914274677,32608.89710906117,34307.74619682373,33416.85278222719,34186.329321768586,32933.08837181267
2917.8683384477,33477.84061108039,32179.598413697808,34364.30970478992,32566.474980116014,34067.409523459355
