Distances (columns correspond to number of iterations)
1,10001,20001,30001,40001
3048.9210394184456,33696.650483157515,34028.4267482631,33251.89892677385,32142.753409188634
2881.386033950255,33224.66313429329,34491.444425945054,35097.56455867373,34568.59016130845
2853.2180848021685,33824.20944202984,34997.24581955521,33287.01963916886,34490.31782833334
3071.8997505648676,34900.28700984272,34162.56919982255,33142.405758692614,34428.02194997622
3202.983106640794,33145.044080491796,34645.072537202,35392.25221254256,33164.14349170874
2856.7182465426986,33757.87080614055,35710.449344247856,32839.953433450064,33631.74949053373
3058.0296262683432,33037.73031676944,33655.063073384605,33776.48217970768,36227.149671079766
2958.725049655815,33509.29330879068,33726.74703062205,34623.50742316245,33741.16664222625
2922.798708594026,33985.09486183901,33081.90227396311,33501.74698062824,33081.12193109142
3112.643251081881,32721.046925489027,35518.54089494321,35154.01440612661,35437.682007746094
2839.804634036775,34328.37119258202,36406.25006187009,35045.04402643279,34277.79578466234
2956.1014362574847,36005.71856156051,32467.19690069159,32902.589503493415,33467.08763600201
2818.621642239474,35283.497639920366,32481.96949220307,34258.904343569,34262.0809639589
3025.47585467442,34721.539665384866,33952.32540852343,34400.49657521475,32875.993115350924
3017.8804505793805,34042.204704764845,33546.88392465745,32963.18060029103,34413.71986313846
3138.951968411358,34352.09078930365,33435.02421392845,32686.018014741705,33555.54881547942
3010.1595905766394,34156.97371688635,33511.086455393066,33625.781743022635,36769.46035262197
2910.9348888582317,33005.390379266675,35276.574471850334,35145.622661985624,35012.30219381864
2923.8238200635346,33023.90149501814,33735.15176500586,34732.62581964793,35695.48276170075
2964.6092960900064,32492.609420674686,33849.25114944073,33692.32605719381,34093.2151898542
3167.6557595947975,33899.820553783306,34601.938013275765,33788.513938705895,32983.05932209436
3134.975702623349,34683.61492439375,35338.689561336156,33864.92458328006,32605.327710497346
3026.7644538574245,34206.09443315979,32938.66956898473,33732.78564721985,32879.11760042381
3258.4361449647736,34408.027238851835,34862.10732236472,34577.64425973236,34989.33308023347
3091.730618232956,34346.57298563781,34783.309405490174,32049.99800005069,35419.55604927346
3060.7685221905813,33181.32384238024,33652.79141107459,33860.22344125798,33610.42354580172
3199.6949712274622,32620.179516924534,34911.741730930284,34278.16321727135,34114.28582379602
3128.2498061387682,36098.43356035533,33727.40071493484,33540.54842253008,35132.97852013607
2962.671634429414,36171.040832856634,34481.1434127752,35528.3702116153,33994.231643926956
3083.654743104819,34510.02936955292,35095.696187393216,33168.143770882365,34087.37386474829
