Distances (columns correspond to number of iterations)
1,3501,7001,10501,14001,17501,21001,24501
3869.7798947652495,18243.318012694428,11041.298532268871,7889.357942557624,6898.688828159339,5855.980951423334,5233.168503936127,4934.397291975681
3525.430031408273,17623.26052045079,10796.057255262092,8097.960811173141,6385.094019868206,6018.014703742837,5311.321158398487,4771.440868700714
3735.332742694792,17732.911626880203,11224.003418217693,7837.799738231406,7448.201207197247,5657.450909870766,5069.0108018928095,5089.11895215431
3343.3673446048983,17338.373107572275,11004.018980940384,8455.135587768995,7078.171521395223,5951.503031078822,5265.245688267676,4660.937921885421
3206.46518221335,16926.307029353527,10791.45572026948,8762.01758012124,6465.597086936829,5698.908128801915,5287.885283731322,4927.5313653330895
3553.036306217193,18149.95007007993,11436.115321510739,8117.982667057794,7292.018491590049,5831.06443006517,5161.73142142262,4724.721718309507
3393.1028881553057,17047.920699333452,11162.269346699479,7938.661430281502,6648.635191989827,5958.904336956753,5139.00698121105,4693.408556666781
3239.141996137003,17017.67856675198,11178.027455975542,8466.59079227054,6845.64555481205,6142.159812376521,5388.594785402202,4889.215063689618
3251.82801861086,17054.986717878615,11533.08575923818,8014.609862381145,7056.659369709789,5922.701628792728,5225.371954730101,5042.146895498503
3447.68941594077,17195.497126986196,11424.992726997167,8544.309266361073,6888.549415871802,5586.55364260746,5520.2928969200475,4857.751647550167
3926.7352310369074,16565.2100532231,11310.490060853774,8499.230023680655,6788.5151384938235,5961.198416324265,5248.8629631476,4639.457920523091
3430.9928774361892,17435.146756804792,11037.065108594632,8384.524779488393,6695.198998152149,5529.756531395929,4933.68750825763,4774.254274167114
3134.2779535109257,18406.07423304266,10893.159581384567,7619.406602780846,7100.683194855954,5919.816144467522,5272.147304142065,4396.418936338431
3577.371855904131,16181.060350294127,10600.056622365155,8136.441010203199,6423.492066017423,5469.606396873652,5229.091616154351,4716.018550127284
3435.665183141126,17382.111222070358,11686.277092773169,8250.900317845753,6931.011086736817,5995.8809790521545,5144.035371604367,4413.289591626708
3567.927436984311,17638.77213191796,11220.108541267453,8370.002250885274,6666.336102652358,5708.32898521431,5149.949197487241,4617.554934475538
3655.5698758497297,18063.530318704998,10103.625670992173,8357.371980584869,6473.090845357847,5719.769473032536,5328.696570637187,5040.896545491086
3620.259208821027,16711.24524079024,11228.723877661316,7869.658375270248,6395.498435363695,5646.465316215039,5501.072842245607,4952.420976433894
3454.9061253102254,16988.824696915417,11173.397971443825,8272.390825410459,6407.727960239688,5760.197157579198,5109.758411603174,4931.404764492529
3406.8139269576145,18577.475114318353,10852.358743667395,7774.527666086258,6459.298784489138,5850.496984248433,5273.570701319383,4897.315360394458
