Distances (columns correspond to number of iterations)
1,2001,4001,6001,8001,10001
3244.363648392386,9232.329839144055,7983.356798491283,7113.726093695847,6263.93888150324,5833.367064808266
2954.187706209945,9274.930273683072,7744.239116327553,6587.832607227373,6296.15966226576,5701.770987836381
3038.858811203209,8897.175467005682,7796.1537151469,6545.512055303898,6491.2477558106575,5931.748945115153
2877.759093037675,9283.457390012452,8204.792522867283,6895.369065913931,6070.950151910151,5746.761938469756
3063.639655411009,9935.635924759452,7668.075106017585,7028.5758767354355,6174.716244375289,5386.655420358012
2981.5096031685257,9255.074399619121,7880.300305821876,7613.080575993083,6540.513825681543,5820.169318038378
3190.23277513344,9729.181996592502,7613.872579002804,6862.003934902074,6387.408030975493,5894.023448109355
3143.6888050327657,10043.936913633883,7701.198579902358,6914.243378237435,6351.212957008996,6119.9132936445385
3109.9741484399665,8906.520190087753,7587.978540748887,6618.298378977065,6008.7514673329015,5973.853031137377
2857.591000026777,9921.117199040404,8437.448277226813,6754.264606512227,6271.837327674376,5942.687885243511
3134.136033622553,9295.387116731872,7380.073434813632,6643.629536705421,6336.924914484579,6048.039916732849
2883.3430017894707,9095.262435395707,7105.361598136091,6983.296429820205,6125.924911044618,5904.746925750779
2864.4508974481273,9049.65586982358,8003.514791310773,7355.3059210361425,6536.212782225825,5576.924726946361
3118.563331855117,8928.956569488482,8013.066546135094,6811.624223858602,6277.524182431225,5888.253558799082
2883.210382895191,8934.309464481981,7251.687391994037,6590.235599466527,6088.544004995685,5951.495187250659
3142.422562302493,9350.585387109903,8326.064717710608,7006.5813211798095,6537.861873658206,5971.275053374109
2967.5458672641794,9353.181640754643,7187.9226953540665,6978.267314170736,5787.380934321666,5671.423594917892
2864.6061550218365,9169.291120199721,7476.984641812519,6546.594629393223,6189.779468619667,5381.654245003993
2983.848085895092,8982.597763299033,7094.745016270231,6987.766944867461,6133.058551696273,6007.450862002272
3309.915329501496,9254.24195615061,7393.481998309853,6606.002034229575,6304.079567244223,5549.770914113233
2839.3735747340406,9347.847916715573,7669.935533880229,6464.037555379369,6256.068669316436,5607.570103388044
3159.250300650432,7888.684649751496,7418.547993140478,6552.72917526222,6111.415189276348,6135.146836428806
3113.6525827621203,9355.58074061993,7863.422138675548,7078.5550510650955,6560.37422814614,6039.912740717017
2839.689139487224,9163.471869800826,7863.811081341516,7335.610562690587,6316.463987646555,6229.000728860988
3028.8958122191693,8971.063060504415,7780.753280929988,6453.777642391975,6092.8216540688,5841.248897749695
3023.8474982932876,9399.05493773099,7673.181982691213,6430.02235256036,6334.211360951641,5713.9063747127975
3151.149976812145,8827.224027322782,7344.504623358784,7189.589431818474,6042.731854742357,5471.048450488701
2974.52984524373,8224.286895515155,7881.009289027928,7321.916358497455,6142.7609516857665,5960.94803299497
2867.5312881021,8668.2772537391,6755.893018638254,6919.794720224327,6109.859241326698,5590.6275068091045
2950.4396987235646,9183.400599533496,8008.394735365116,6829.944573044735,6353.225556088162,6052.94366595281
