Distances (columns correspond to number of iterations)
1,2001,4001,6001,8001,10001
2995.2883049013667,26851.815321929447,23434.72589735291,20578.1685601112,20158.510387381513,18147.665754003938
3064.9491983460834,25742.313195197818,23627.97953564673,21212.953497110917,19099.84571989897,17832.458221889196
3024.120134735223,27117.49728490484,24100.99127927383,22230.875183334658,19992.094406326534,19136.89730553322
3007.5216178373253,26703.533425869453,23479.95807754667,19625.784126878396,18841.006682218776,18295.23901073577
3048.2381919983313,25212.35722820844,23623.983697662832,20601.30301727739,19959.523078258655,18261.54576284594
3024.6147441325493,26598.881258726426,22564.551793649913,20493.703389069826,19489.466135754905,18141.257232969387
3159.835222404438,28221.953624836504,23358.5248840301,20608.589999906017,19337.432103498522,17920.330334421713
2929.7904485093704,25990.836800130543,22901.061529538627,20948.542172793044,19292.9589633007,19479.237907868395
3268.8740626018143,27230.628320579825,23394.25855569833,20122.225753903895,18635.509295265485,17952.321219301764
2903.4478647024093,25683.925081135138,23171.803413370042,20925.591324185294,19106.463601974658,17994.31048203019
3142.1024197469055,26544.652775154816,21902.73492083852,21990.858370197977,20300.33744905304,17430.82425987238
2862.697108699363,25673.306034327965,21885.35416123607,20977.87264991873,19034.904810915403,17995.410664241597
2895.88820083943,26337.165224351,23134.043029587832,21109.581210053002,18617.61764298248,18911.186102680604
3056.075851236956,26126.51196210983,22484.53019385367,20737.93856257303,18578.905635152743,18986.8456273721
2908.548492786891,26048.88406846937,23953.426675282633,21308.809225617,20833.577265226955,19145.214675043284
2818.621642239474,24965.43561705341,22518.45287243823,20467.28828892796,20536.98315802301,19036.460323843774
2857.3152145551066,26656.856665039853,23392.78871327682,21109.68216525363,19812.58883684398,19380.643215459175
3013.827702758578,27805.148493354012,22399.7853338497,21797.57886331687,18988.193490012254,17991.855860757252
2995.3374983264825,26325.785605401048,24006.194554686183,20924.79557987745,18796.12880673382,18066.598295491887
3048.4761394039488,26554.09431690611,23497.598502135057,21875.26014658403,18328.010421064,18387.46785223666
3064.2055214078123,26995.061784562684,24153.88110555643,21030.58743671214,21055.880979417627,17695.10920355482
2919.1034004679623,26799.827226939382,22004.081978604416,20985.464534326362,19085.152093611054,18654.030850602154
2991.1471033744356,26534.46631694552,24153.276872402705,20649.839874333793,19672.70755135365,17693.85203269029
2888.7842791536264,25777.548144749333,23266.841847702577,20569.523426345386,17863.143652753966,18425.440979140614
3270.8859844293593,25783.343639284998,23298.23910073593,21725.46598861196,19115.521694089784,19144.24355773841
3182.734274905285,26001.194500799505,23098.091410566354,21587.251052466014,20732.57966304673,17094.39002145022
2865.8768728139585,27595.236690949223,23307.882363238754,20982.31605131712,19909.338867475697,17953.52569851979
3104.18985720706,28287.011083306304,24531.15087375593,21723.062874547726,19887.984896432732,18232.012855521356
2889.183789230634,25880.805619665614,21437.803547561947,20802.644719395044,20643.85896142246,19037.25903661422
2927.7188375607852,25846.50557931506,23405.80065515086,21694.753018145733,20016.834501388108,18294.700880436787
