Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001
3805.167785429905,27863.14183257489,24528.94012021127,22366.699425162915,21428.251595483318
3518.8321401604553,27544.55782997644,24123.15843919405,22107.239766177026,20887.978695036276
3266.195253505766,27236.202376808473,23564.55992726431,23845.03174724128,21484.371671055724
3393.051380142274,27335.971788739334,24804.19717940157,22745.653245999358,20996.3449039212
3783.681831623683,29482.661419655647,24627.591045402794,23657.876750206546,21603.21945296143
3543.3828125155223,29673.787371028047,24534.028518656043,22195.010997620935,20226.539908612474
3474.3548007470067,28402.76150917216,25042.39687292952,22156.241510161635,21329.246651026202
3696.115767990873,27601.372042484087,25553.395668922076,21678.472294570216,20976.040290557274
3557.1495722852856,28384.768493134714,24174.128327111877,22636.064101416083,20672.963089729772
3346.01140181036,27541.713878675284,25630.347213176774,22589.683655313624,20006.35071553795
3433.340966471178,27167.61614929191,24602.30857418615,24538.04790910161,20798.9390860088
3384.2781983060972,27405.678127907435,24000.073978488745,21931.634323932823,21873.13120731837
3327.129232155804,26836.552232048427,24374.671402196433,23823.125869385713,20282.263814552734
3137.214909517872,28036.048513859318,24680.908382173657,22740.77337664746,20201.240636318635
3843.3614275116793,30372.486514556946,25827.745358565102,23444.588706932558,21510.473025943753
3571.231292579297,26806.58025878693,24366.86780571111,23442.08524483774,21471.47700123705
3378.827839996251,27021.86244013061,25250.540508815353,21638.25530564374,21194.592920234223
3181.8343865442434,28518.923023012718,23736.58594565893,22168.71888692731,21717.047288724843
3636.466356262541,26981.56444333637,25776.439486396957,22752.26125830132,20849.45473306947
3459.810328677584,28104.881308700948,24465.24861983855,21205.99612562722,20266.94055331952
