Distances (columns correspond to number of iterations)
1,3501,7001,10501,14001,17501,21001,24501
3808.638794542392,17317.941629825586,17321.44890816438,15311.910762117144,14246.538307444653,14146.337695203669,14247.368382006029,13355.889973576843
3277.5564292080553,17127.305353938733,14639.986494675526,14888.950043081286,15821.138772649994,14378.89256625463,13393.402006692839,13899.392277002016
3629.082356857076,15562.384271496278,15140.921266959589,15265.720777759469,14794.02409956385,15251.874728146635,14820.115345846158,13835.395370506363
3514.9758878298976,16143.053163480652,14395.416461685121,14739.636798334677,15147.90252924181,15663.650660320256,14431.420539003751,14349.630531747054
3277.9465887025135,17490.019051941683,14911.269782646903,13979.752916279433,14539.400720262754,14877.298074104956,14456.870411725085,14538.807496211542
3593.1656677172973,17407.742139814454,16147.932532749035,14400.20327167321,14735.6540761147,13642.90956298886,13948.315047785412,14087.243923658456
3191.007746541194,17131.286114346545,15580.81784475417,14522.495778411698,14837.607844345262,15417.434317371837,14907.043719586147,14912.17076769092
3590.6824918901916,17058.290203999015,15975.2093770599,16349.806410430008,14671.47587792508,14758.271661671066,14942.95097500155,14742.666930241963
3867.3520652362695,16581.730033500313,16584.037424322156,16179.203720514657,14915.307027848885,14571.947381219828,14440.835214582165,14361.0378050503
3734.592198588627,16827.964503180283,15506.944871710217,14707.13108717844,15324.492497669156,14092.464085736034,15063.2577483637,13583.48111257189
3644.1823766988487,16520.41544616684,15769.364130429381,15924.870622969853,15303.061800981337,14414.193669415072,14135.711704736499,14425.382908384143
3448.4581600514725,16832.32901399358,15829.758809905203,14931.69041569263,14686.931145858438,13278.317187889128,15096.96104909403,13344.313742984301
3501.779077262328,16582.040496166483,14465.447047882255,15043.909263243586,14486.292278518264,14117.232924851034,13431.16751670497,13934.457056120453
3979.6693004361423,17226.64596048494,14916.648189379952,15302.370438525277,15220.692300356584,14644.125278919568,13910.52651679946,14237.983300230619
3329.9859689991827,15818.251877474195,15554.805905771555,14583.477308030853,14889.357379115045,15815.020292218423,13401.715394527786,14866.610345420397
3653.158615089322,16696.880397984685,14840.34945107128,16008.273562913855,14697.387081685336,13935.779738392772,14136.24336559959,14463.818477023926
3660.4761506183127,16701.562974473913,15964.091597832372,15447.454670301282,14079.294904028106,14883.06154186944,14719.002482908154,13750.605327307723
3324.2405245266395,15761.484384405956,15328.842752167808,14917.767296019336,14522.165178089013,13355.429619739458,14322.723049756449,13958.988634678324
3124.5749380892335,15510.075802459514,16161.988699015039,14655.864913213281,15265.923868602351,14374.107005434418,14822.103004793464,13327.076114024094
3584.144292236193,16589.340420368124,15095.0705666446,14909.974905988924,15689.855262118468,14251.367434163682,14251.143494755532,14900.620670900898
