Distances (columns correspond to number of iterations)
1,3501,7001,10501,14001,17501,21001,24501
3374.651466973488,32599.14010041173,34855.80073811932,33796.00202107986,35428.745155420074,32361.480343566847,34190.85789044787,32494.1221430233
3800.964185630673,32628.13469442559,34463.47707692817,33705.90830855829,34258.86015142417,31979.827996038213,34432.912610350846,33673.68298423138
3366.6462410422546,32865.311894005376,35832.554134075945,35000.45379007223,33904.44350198301,33906.45642502116,32060.376676001193,31769.266701051856
3658.4065370842436,34272.055615872334,32353.619675304577,34862.12787917178,33246.64348539731,33171.82322102452,32157.9208960469,33788.77960174202
3333.9014704753167,34734.78659587877,35209.812755956154,33957.95419074505,33828.64098527484,33252.325189781826,33724.31788445262,32735.492670712832
3450.638852778881,34537.650939446015,35483.750721801254,34028.63736046572,32598.06330672536,33899.34117398222,35075.667093118755,32005.079038434087
3519.8308925176475,33885.21684947124,34921.90668688646,34697.32020866993,33968.42445432428,33343.61683091887,31182.85730935608,32451.28158338945
3707.2011794626233,33675.94794232631,32651.174752218587,31823.95564588352,34406.32795332163,33088.919322527756,32846.324717204276,34257.297471052465
4054.680312786581,34038.68114823671,34252.185701296345,33814.79318498102,34155.30885137737,32176.399795445068,33351.7328154508,33387.97518270482
3708.3199441386864,33516.281963996684,32443.35918142462,32284.716790409206,32723.917383373187,32536.27866246792,32121.548676436563,30767.379168906784
3309.2009723300357,33367.95884447948,35068.47511827693,36368.66893520575,33432.54402455793,33817.36143942894,32871.084648567405,32538.228160376628
3390.3359612444456,35408.859169028416,33351.81472260194,31989.1111690163,33222.00655621627,33691.38461998845,34151.61378753801,32475.077408372083
3525.4301763960384,33404.29582983358,32733.081388089326,33389.13911634711,33633.55689169013,33983.22898025699,33772.92871513467,34261.75837528714
3398.859059170845,34479.83803258118,34524.42037090723,35449.879620490225,34219.67319440762,34516.18086468059,33779.57352753232,33580.71421796631
3478.3931944232318,33613.90402085471,34490.934383567605,31609.575875335388,33657.562084294645,33502.99828302256,31267.800797258868,33943.704859296
3260.540066639981,33857.227957031595,31513.364206492988,32557.33069684579,33132.98300640983,33033.72980462026,33728.00530067606,31553.194178996913
3550.5449186949386,35475.10686046547,33891.99078970508,32820.673028424906,34359.17772472537,33667.65724640098,32411.6885604731,32734.96096873726
3443.664277133688,35643.43367288879,34753.34626135827,32156.89165004805,34502.067125211266,34190.07636492223,33550.55809877024,33043.275221175936
3551.119236180126,32245.04261468718,34192.829382043834,31807.918189524516,33716.14310743143,33847.263076520954,33044.04476312984,34084.04568378844
3720.81320792794,33763.904715609344,35184.83999548124,32058.741792954206,33272.44037734422,33409.58230909501,31769.333365677852,32488.530057112206
