Distances (columns correspond to number of iterations)
1,2001,4001,6001,8001,10001
3166.9511634150163,34466.83198528782,32548.648651479863,32950.39943898653,36099.43405517439,33152.48251080295
2926.2286141279706,35053.186528556136,33452.64800008137,31914.74772736944,31453.498016453505,33391.57509466142
3263.129501434321,35470.9888044678,35108.68947710967,34407.72192709327,34285.85616901493,33134.27202055865
3234.772531938291,32955.93695713553,34686.80809113649,33686.14885359464,35186.28117859347,32863.476845632016
3340.112107271181,33424.04624033311,35235.53623537279,34940.40949697351,35790.635934112346,32461.152122229712
3078.6485625729397,33478.96425814213,35386.887724741864,33881.03592759775,33453.862752848356,33016.970627720155
2818.621642239474,34233.294387602014,35206.157297473954,34136.41573706028,34523.53395208101,32975.87943231637
3032.127517647285,32192.099567826248,33859.446150208445,36780.76156749482,35617.83248615876,33693.539340811796
3093.680038864308,32742.437417060082,32952.71022652707,35092.1441438392,34330.4499849139,33641.35694489649
3106.8377007486647,34224.66340169501,33594.6949903659,34576.26346450081,32811.231000523185,31970.526456735697
2917.999283054322,34128.74085619895,33680.33530437092,33025.20887267996,34902.068913383504,34558.84767984364
3129.3832933522394,33667.52504916824,33531.17900823611,32446.66213627584,35269.46390276631,34593.53740545208
2986.795473171015,34200.01060578886,35016.81598296438,32385.582536585374,34816.902789071886,32995.00236802977
2938.5774128853222,34451.320332741976,34880.306584995415,34130.544528408165,33518.45763088877,33896.15322749412
2871.407170060355,33577.467033837725,32989.080687299094,35146.76319102834,34297.981359221645,32031.8942008854
3076.069898674408,34263.38976091324,33678.310926654514,33087.060127881305,33186.001366316195,33032.0656062582
2974.9392669699682,33782.19257512734,32318.767902511838,33370.72677287595,31751.938781471945,33692.633378562
3253.4634663847105,32402.267488396115,33891.110528726625,33360.861360232666,35183.41443325066,34152.040824122836
2982.252462936488,33739.04072131206,33099.09656691932,35224.36179276733,33884.17149316489,35698.16950828112
2980.6013246386315,35665.48545907887,34328.37491251937,33586.63223336797,33642.485711372334,33657.59960455746
2884.474053136906,33635.63633108796,32389.28156339071,33273.04635349099,34602.41947129867,32471.737746419327
2939.3224953697236,35569.89138707421,35485.778393754874,34476.9372405859,34209.226857721456,33905.53886751437
3243.56522321482,34995.62444964942,33749.544673955505,32539.62578835972,32391.82635678544,33864.77314164663
2882.6216422394746,35114.218285016475,34780.97251775005,35421.03023687296,34442.48486482244,31328.23043918077
2865.1123170183773,33363.36856155921,32876.779243634075,34964.65564043262,33992.448816142874,33368.475984796925
3168.799449888157,33287.796381276785,33111.28007913031,33997.04702834423,34660.67474438946,34160.673181473816
3271.3807457754783,33618.021768284714,35268.35438157292,34797.19059417212,34044.13914831862,34960.827500165644
2943.08854239576,32468.34454023875,33835.13612051137,34634.68396699113,35279.25216967209,32492.890414747173
2993.465898169443,34789.03737447835,35662.931183398745,34189.77791767644,34145.62158107692,34930.413923836226
2995.279502307209,33753.162403094226,34493.83297808556,34262.094198907434,33407.228845045625,34917.37090440304
