Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001,25001,30001
4317.6636573856595,33552.62285247519,32242.52752446745,33091.07818346196,32969.77701516688,32628.129989596517,30167.641171496765
3909.345617549835,33272.88617481855,32876.8546054616,32978.828879886285,34372.528320560734,33962.454242895365,31867.03980634438
4181.343387725902,34208.926998900366,31430.331728279816,32988.2195359538,33623.824918046914,31916.905702095326,30615.096265390537
3814.3295081270926,33302.721963803335,33920.55486826376,32274.247526913026,32597.94019384662,33037.8850964819,31877.891325630648
4155.346934827403,33196.624785829925,33344.392166613194,33709.15279256995,33114.6548658223,33716.27075368044,31847.927200398983
3774.816651873734,32244.939668690033,32566.618449083562,33674.26955151152,34108.036965402585,34070.554953117244,32025.370973142082
3887.4092513009814,33766.7987736394,34565.85721608906,32064.480225652787,32486.618435570963,32017.072769443585,32817.07549968473
3834.663023521446,34269.25555335057,33992.21936802718,34946.81869996234,31691.71202833202,32927.47637834792,32945.759582978106
3705.8101707472465,34151.66852198198,33480.744102842065,33844.92999970768,33129.670543418164,32619.089014764973,33036.38188439828
3946.71208314822,32736.065414560984,34304.82825041085,33514.796709161994,34015.8149763799,32143.708805363516,31512.194608867892
3782.678440828239,33697.50386648205,34133.67086160294,33662.14424688302,33559.676118728115,32030.93850566647,31938.29895527531
4028.3158848490766,34720.593799019814,36366.44220956088,30871.922939219778,32439.269962946422,32697.176120673485,34450.175718947365
3382.326266384622,34269.20068540702,33787.75046885228,33123.712496426655,32936.39089088641,32417.145576938365,32004.559353376248
3483.0226088244463,33552.808119823145,35849.54482811148,33714.798103496854,31958.767206795954,32621.61104811917,34814.20429767339
4067.960519821104,33124.633394511555,33471.39283002615,32923.994598619174,33037.600997632166,31518.703563095005,32084.759888729335
4303.884265302448,33915.97592876725,33175.749945807125,34325.34859058252,31786.138979335345,34030.62026455264,31815.864884771912
3614.2874946013258,32063.638012094394,31987.069049288348,32344.019912391548,33496.1787434414,33835.91062353109,32606.833758015808
3611.042877054622,34258.94828425301,33900.64110426342,32397.562099853458,32488.750922137053,34022.96614490598,31716.949501168383
4351.650268702856,35421.77420214733,34352.35211492645,33712.12389691216,32980.76790417935,33640.38754661014,32118.21476059158
3940.725524882057,34100.8108416095,33610.63407113229,32230.40740816826,32272.502859572916,32146.042862561128,31720.365275867392
3609.232628361864,33787.61978957408,32810.39540236349,32275.777103146043,34515.64170497647,33130.97643267137,33821.82046274204
4153.80248663223,34780.31902601073,34525.25634225447,33295.065216296905,33262.42801019655,32211.37253381048,31257.194825733302
3789.044933998176,34672.008533299195,33721.12333602506,33680.49624018084,33361.16338938936,32436.11108631216,33242.57919661056
4301.226936421925,33265.864418121964,32468.27365756314,32994.96873296127,34404.66871255176,32919.33087913133,33275.720394370765
4200.336095566013,33353.9028379494,31312.187415668257,33388.70729483435,30972.603398417123,34441.99390436285,30681.280929659573
3829.1324667119784,35084.935302916194,32764.278128314367,35819.64324546215,31026.491796225313,33150.730860911695,30025.102871661093
3762.891988959281,34456.895570003406,34646.96163769875,33716.06699401651,32849.69652404597,33878.87145983002,33445.603553286826
3838.8411492356117,32084.680038552764,33909.92194975657,33118.49919589174,31697.57343890167,32306.702945924408,35615.362809475344
4197.655051475028,32670.033360363035,32853.01160539814,33518.59287009923,32435.66026801968,34548.70780225929,31747.5029492461
3599.1832964566775,33155.61323163045,33432.489626232105,33178.36475396664,34027.54368157661,30977.57833569303,32618.59461469081
