Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001,25001,30001
3853.680090626612,26016.660425495003,24842.721282456696,24329.05497925166,24861.311508947074,25107.498180221803,25302.308269074845
4035.531641895485,25999.072307735136,26035.64151024826,25507.97594954791,25296.754716838488,25332.82838643801,24477.791458626187
3896.804856390388,27993.857107302865,26357.872377207324,25109.04178037878,25196.49942659249,24309.994882990322,23955.545173570987
4321.126964286983,26522.27551738552,26056.048853459422,25108.566449797905,23220.473322726284,26226.316504379552,26738.1637019187
3559.3244005581296,24657.592752247143,25721.572637651552,24249.07388636778,24567.429936931545,24449.76397667065,24541.21254404286
3959.318697298871,27006.546192958227,26584.345522756445,26282.24711599922,24344.43757607102,25818.294512155135,26228.919941996686
4043.068541391708,27694.072128285705,25027.487230993964,24527.684835215892,23235.081863844553,24570.827700108308,22977.672437314744
3966.315626428469,27193.267072977895,25490.544884022576,27201.938881840477,23668.46363476259,23748.540399289657,25962.684193562338
4050.996796976745,26810.82970972666,24813.1906198863,23930.144845127452,24680.322765495563,24525.951483711968,24700.668451428322
3858.6344728296117,27062.01358378369,25164.368050709112,26212.777141615978,23965.668614960658,24099.660155460966,24607.838210101814
4386.521515452323,26362.44899238411,25075.485838774108,27054.518724212558,24615.60436211516,25810.04935562267,22267.061352883786
4439.068771599883,25380.676602077958,26048.057526985085,24619.233924330863,23682.115657888546,24532.35398457001,23782.035077083558
3729.117605965513,26875.065719049944,26656.60163125983,25531.75966348115,25250.89293367181,26178.000200085913,24687.56641679194
3673.4240802568775,26159.655791732464,26681.66392589779,25624.685264400723,26033.903591520913,25229.911314572342,24097.22450167444
4045.274644445244,26899.224303650426,27792.81488001399,25188.65668343773,25554.97579578592,24420.446336084176,25429.783897872567
3918.0447569334788,25724.239086932535,25478.703950212755,24137.466292502235,25787.198892045155,25286.68522228083,24803.342185578604
4027.9775252342192,27629.94822471225,25096.238983416115,25507.80599388795,25132.404316395696,24815.953320515706,25763.78357821461
3865.2435510567657,25653.14777391805,27464.43580563219,24608.220160400688,26628.197843392372,25648.534247805026,24618.230687208084
3574.5501752274604,25795.341874384707,24888.24034646562,23300.352336388063,25091.242066406456,23826.992030652975,23377.03733850071
3792.824530635917,26630.18203788052,24814.195130336335,24170.965899095707,25462.616949196246,22535.564148798105,24059.821427042916
4166.450287882017,27023.184172367448,24367.775756257997,23027.130612232384,26412.3080445407,24760.876972639428,24353.791461230554
4170.959296384573,26384.564786960127,24813.167702233957,27381.993544758236,26941.558353274602,25766.41085926377,25290.695108325657
3988.87765005914,27840.68013648598,23782.026851427636,23924.789287418134,25963.127437004092,24425.482136600764,24030.848608786488
3875.694852197544,26694.21841066401,25813.915706252417,25034.20849881979,26038.572748195747,25134.21717616368,26639.493926652354
3932.4303679736404,27535.45694593079,25337.286713090372,26498.734791590974,24955.631813033608,25710.02074956164,24280.44961427826
3953.801361482752,26648.041515793502,25525.465612371412,24828.266622897332,23388.680236330772,25412.68188874845,23795.229319721984
3340.539928967311,26631.849050451285,25224.674611060167,25168.559824510303,24028.177652940107,26512.993453758103,25520.923836475537
3893.973387528495,27873.692674969538,25322.985702745795,26085.520023122703,25508.67108046282,24584.10935521287,26009.92112932375
3832.4670156197267,25619.916848352575,26081.212454331195,25654.705953949706,25104.351823853416,25134.717196702986,24458.39262505964
4093.773484110066,26371.367773153743,25293.61503750004,24931.250425817445,25836.939345497594,26022.32231095113,22975.98499861846
