Distances (columns correspond to number of iterations)
1,2001,4001,6001,8001,10001
2891.207856087198,31993.148974440042,29647.66428504239,29255.385983641914,29905.710640051217,27335.930779625967
3064.2055214078123,31929.521310733293,30919.937714383206,29848.735885030954,28671.16298334282,27422.003251619954
2901.8269495787877,31253.460860658768,31684.809543711654,31864.301297439528,27650.997483560244,27452.352617435547
3181.3811722105293,32287.05578469196,29765.108659858997,29062.374828858294,29441.90195869087,27672.402219670497
3107.409625163578,30639.85112583478,31383.858749064715,29127.752925737994,29878.625353137748,28239.428490675105
3047.889991194559,31673.699455247068,30351.98070384543,29602.648576104828,30995.015012658154,27642.051965921848
2991.34930287397,32301.173090426004,30284.387924336123,29106.508261471783,27590.47119726391,27160.979932064645
3218.100109940844,31336.744167769655,33788.67903102087,29192.167133457013,29828.57001322187,30153.27649189718
2959.0418113346236,30717.489095402412,30137.743056920965,29756.722780366228,29695.296502816218,28368.8018845732
2909.3147195220163,31181.54929376313,30382.555469049043,29286.182321525328,28153.574541556703,28821.279681984302
