Distances (columns correspond to number of iterations)
1,10001,20001,30001,40001
2838.398729879471,11601.74472482389,11088.075656041001,11577.549288740805,11192.403307748049
3015.6599035170693,11578.370913194485,11904.56808138563,10858.574680902128,11824.27772764691
3002.86768859202,11593.891423245514,11208.299581202255,11551.0922286081,11032.048464812256
3143.602418052453,10794.768151492894,11603.325947495603,11910.822133921058,11876.3637312288
3267.300906695425,11768.721405726013,11400.066028353647,11704.293761550607,11948.223254577348
3189.5245181439263,11520.580500647104,11824.768136533856,11384.052652683335,11716.193096079214
2987.761762208561,11239.381183628442,11400.038324123198,11335.841206663097,11597.588501853957
3226.0639870244036,11907.408778817597,11343.10259037211,11176.361592393749,11223.008643991865
2966.2985185903376,11759.46602468814,10946.938750088504,11083.697387484412,12345.129566134841
3068.593333022201,11425.703190097325,12315.961557622863,11717.915419771369,11041.854487754892
2850.621642239474,11860.183716195883,10974.944134084291,10717.42281557914,11799.191398466579
3249.052270379308,11997.961968870792,11279.790164557831,11630.328542193252,11666.624958451162
3004.087547841502,11753.080692963202,11487.292997570772,11099.033273039944,12135.92035530104
2818.621642239474,11587.706712302424,11520.461196873935,11073.216678628125,11434.35894162642
3058.396238318089,11839.801873802118,11696.623155141262,11916.610378755955,11895.17555595532
2839.466052443186,12087.467131744297,11480.742744452302,11121.810957198404,11395.563369125204
3000.5689887604153,11175.635733052266,11326.52914537223,11657.430968277344,11602.58751667291
3071.834070727034,11171.72519285492,12032.144808766012,11957.517382642283,11749.300391916564
3155.5419153658695,11929.951866209874,11620.206226660124,10731.996187890334,11086.707281505369
2928.1927136408067,11188.390411358598,10910.615660505879,11288.64311174785,11667.18090362861
3218.122847715629,11606.404754775285,11880.171656994342,11537.53594200285,11341.518694310913
3282.3118703805444,11454.630167770652,11718.594128986379,11509.038081299843,11250.681779794539
2882.4098684113715,11219.951285533516,11376.819807146705,11715.047530847469,11059.599198081505
2844.5101860594727,11391.262759884412,11686.376944828966,11136.404044695886,11810.778540469237
3135.5420928282947,12256.325872226533,11253.03755249263,11508.77755047557,11264.021762654946
3064.061962743125,10870.885380524809,11442.912647483492,11339.896150105382,11661.50409876
2818.621642239474,11571.784162086238,11783.84376265826,11296.888842855758,11480.89613639474
2950.0704813635084,12124.613925966083,11131.471471683713,12298.935403562145,11751.280087771669
3011.5439022637074,11493.487208492455,11963.819974958838,11937.959443852349,11811.005557585915
2911.5478270863846,11550.4344066777,11264.745375929673,11395.92571152617,11271.973441220789
