Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001,25001,30001
3815.798073809003,29442.52214388931,24462.79129310657,21762.35037631891,18345.527313997023,16771.282429264873,14110.43642959909
3848.717370430803,29407.08249352918,24640.580524485176,21857.556660630104,17935.534673604303,17071.269365416472,14804.020716967645
3762.724234577378,29078.396330664935,26251.964660990543,22095.349309470024,17545.536451350014,16439.598537978552,15447.183882363648
3649.5538041581485,28426.879282979902,25148.077540768558,20585.057724269343,18417.12422720639,16672.93637769138,14789.139487241893
3913.037172438688,29646.649982895808,22756.320015115816,20865.95440661569,19147.47687446864,16013.597842162255,14311.26157251384
3935.0102406823885,30019.10948581773,25644.8541662092,21867.071995350532,18086.374818646436,16471.218323641267,14142.487735502815
3635.6348850843096,29522.777434006457,24998.47605398379,20797.156952644957,17081.447643779553,16090.185083131037,14159.816070509965
3738.1802541044426,29564.972049458578,24682.995009900933,21871.74369153233,19345.64876651985,16500.908298252998,14786.27228314528
3883.680813478169,30354.004493252385,25439.57903763764,20302.230680594883,17507.13452253824,17121.417562999846,14378.698300441662
3498.9569940970687,30145.250665848256,24851.66863054246,21924.204323360813,19032.980321676747,16493.165689256264,15016.48520734488
4185.704230815443,29477.448761668507,25820.689898004162,21534.448921988187,17252.313980176048,15768.473966640448,14069.06483457173
3784.9184588594185,28444.960405934213,23601.49520078383,21807.153956640395,18687.233171362244,15706.53605377922,14256.657630252572
3648.8629321066705,28725.807011608,25136.20253719034,21662.04416849657,19598.62685443422,15694.027168805493,15187.542294282259
4322.012039388752,29002.755682358486,26105.842142594316,23280.90918592252,19217.54009139279,15981.73777160773,15148.050006389125
3999.064078675849,32069.146260214304,26455.245137684396,20345.46658362452,18803.098616087995,16203.715583727402,14606.017005822836
3927.79382986907,29857.323919937186,24482.419183138452,21449.429336382767,19856.442149269835,17316.748937375833,14267.869826142043
3733.0756080711258,27937.106087851786,25442.135726019376,19885.496216632808,17935.075182061257,16914.155206806434,14201.65485244376
4050.3020692675705,29312.531680104552,23858.516664931725,20363.855997356786,19252.190912030055,16504.637818000007,15158.006437354756
3934.2332990197633,29645.60414127731,24974.642016639227,20971.555220514467,18498.62539219418,16793.59068405732,13665.582841036505
4326.448031761816,29648.985357796122,24780.206649435946,22253.434813271608,18380.0557030901,15671.343822250317,14618.954824607823
3647.5323292919397,29916.140578175084,25722.48806988366,21256.82284736571,18412.32467308427,16568.287889952146,14792.43792649884
4065.205853833379,29349.083014079755,25078.921555759844,20870.527427511195,18953.146077746896,16582.970498106297,13746.80213379672
4001.787434344252,28427.25611120132,23780.45473042701,21096.44327629148,18015.417272472783,16942.76634573034,14065.08479883233
4178.166720612658,29610.279396454098,26039.1499784433,21222.317554865753,17349.52274588086,15970.095640700456,15042.25711833084
4253.5819767735165,30183.304953757946,24767.871071853122,22339.532152909076,17777.65085199151,16207.099570792618,13989.166768316618
3692.7870669110716,30486.782919671437,25311.307138017237,21321.497567651033,18273.76326688486,16780.06269251911,14107.31773767965
4281.15334145363,29623.510844122164,24790.597034521063,21680.82598107018,17567.682167943105,15275.374242715556,13454.681300487193
3731.6716867128807,29896.123723601,25612.812329967674,20043.191469225654,18512.64067138769,16663.88986491472,13975.277885035024
4177.44500188119,28924.98146027757,26203.732866653274,20577.09981567645,18671.10124827716,16594.36202092762,14077.59998449634
4225.39018671619,28347.220786164195,26117.44425157018,21183.604554435642,19545.458500882076,16130.892330393128,14261.150067822187
