Distances (columns correspond to number of iterations)
1,2001,4001,6001,8001,10001
2947.0073691211746,35204.48277788017,33002.54506709854,33141.42110883993,33563.01778711207,32031.085129011008
2848.606155021837,33733.3526257279,32893.6679206565,32608.059462517187,32358.167776339662,32570.997646076205
2957.194780261107,34605.903083617195,33411.83699201675,32419.929856464354,33598.18719306428,33055.31478434337
2909.542107695408,33973.36074265812,33287.22900015701,33057.90876763967,31670.662609492327,31700.251383218372
2967.15689286656,34122.11211694136,33999.535768488626,33324.20358443734,34407.852814788865,31624.829013477756
2858.389780463681,31233.525682770585,32544.576327144456,32737.545428313,33191.46010352871,32700.9798326304
3176.7826398413745,33560.91864389906,33736.75943437741,34452.37727819966,33915.587996716466,32120.192156913803
3136.9029608918927,32165.535935530184,33675.57369072467,34749.30121132146,34780.80925114419,31272.53992892087
2986.102765961698,34194.802283539626,31831.143692790996,31862.53134717777,32377.921478103548,31967.98909455757
3121.9342651402476,34185.841394689174,34408.56020828805,33462.60594692083,32686.937873934276,31750.702312551053
2956.49621302192,32707.169023429044,32984.41768736265,32320.420119635914,33592.63228081561,32773.02202455623
3113.3839699836694,32973.494150938175,33959.326912912846,33702.382321080244,33649.08224738514,31174.958812198438
3057.7418696836417,32117.16979387549,32491.729541938577,33512.569103147835,32823.38820977864,33215.173952854966
2868.0698663854273,33759.06736941976,32677.68447055574,30992.05506558631,34497.452621141245,33591.41891427189
3170.8707078415373,33259.013721323485,32233.571758534403,32212.375024122262,33394.282001453765,35001.87187062454
2946.621642239474,33561.284306136135,33656.991391575,32489.54716852975,33163.561839682334,33217.314018391546
2818.621642239474,33756.01599744699,34611.4492691919,32904.51371078786,32063.828062001267,33041.68994058049
2891.28374248186,34456.50356917011,31565.6194102829,34097.46886703002,31212.66378076567,33646.660206637505
2818.621642239474,32754.291706933378,32344.29644093495,36192.47530286931,32534.520578159052,33199.49241760906
3054.7491075835883,33674.66803741922,31902.81887457188,33546.07907907217,33629.66736192458,32639.822639220907
3226.697107221828,33584.559171919114,31529.205429028494,31922.409649212048,33518.03580412423,33555.96408209846
3127.76740520001,32700.792767761046,33363.601907775854,31792.131054343627,33105.263212273654,33665.4404513989
3136.423978959874,33337.81135572044,32549.379441210192,33367.39198987412,33560.21302281546,33212.70273667802
3091.933656039887,31883.984939096696,33927.71444853967,33355.66969798001,33811.04889196046,33813.63970455654
2994.954686722215,33085.785887494276,34077.92241023114,32467.075527310142,33694.69504073232,32424.792623000016
2976.2937007617384,35369.80338043466,33085.91889529944,32279.816407923183,34528.8240810366,32979.43941385001
2993.0366669518276,34674.0550967494,32378.243549789928,32685.949313596342,32844.924580294246,32887.45535994168
2888.4088407959794,33028.961815666946,32794.200610295164,33167.90834826204,35286.25068817803,35898.664509321105
3120.4947243327692,34183.738551091046,33078.39980901163,33826.40990949298,34098.894437344396,33644.742176552114
2818.621642239474,31800.90582096792,32126.667432587845,34634.35620341996,33322.06290519735,33266.86264091771
