Distances (columns correspond to number of iterations)
1,10001,20001,30001,40001
2861.02614687744,35144.11141755959,33401.10299800106,32799.659108606305,33480.48732163692
2952.05396642207,34659.62455999508,32190.44934074574,33957.768707909556,31323.091126823223
3210.0227750068693,33001.90811533632,33919.68501612055,33678.65402015538,31918.350160298243
3152.524485897538,32930.408996021695,32663.907912950268,33647.835987006845,32189.689099431962
3236.412187166514,32287.284319511175,32840.70053328773,33464.41780167502,33461.46805881918
2839.762176629796,33082.009489195596,31653.097464434617,33708.529148025846,33230.06872767328
2882.6216422394746,31887.45840736185,32015.26292309113,33791.893607012884,32992.01868674825
2880.2927787454305,32236.898145208022,32152.636742795265,34939.09049911117,33027.889986258146
2939.3821946637254,31704.278309801135,32268.250606936675,34449.74200161046,33265.21261846461
3162.325130996622,33631.45804601891,33702.75875019469,33015.62054933366,34076.98143673995
3193.8694669940455,34468.98366188198,33298.632041661716,33508.61674202509,33536.27868973051
3091.6683936544396,34723.737194249275,32241.839021626696,32026.560706037293,32346.130467000683
3017.284168079454,33412.49789626617,33653.44139507948,32564.516335333185,34691.77073187664
2969.947552212304,32033.200570676167,33307.02431285546,33445.693933185416,33997.471575612646
2853.2180848021685,31830.43885640271,34037.03768142676,33683.412977966305,32140.066923201677
2992.081036294172,32050.862403993786,32200.946100103654,33149.52907006223,32538.146907519076
3059.7329060090374,32600.466722072415,32289.055089453857,32152.247078793476,33619.346325755934
2999.3172878343485,33978.85033259532,32683.019855309965,32308.14975614673,33732.530127426115
3101.863175285316,34424.67811419044,33311.80319236331,33218.996681027376,33153.064360562574
3070.3063612638925,33253.55887033799,33886.7663870991,32662.096313140024,33940.71720538717
3032.11833771763,34983.07993775901,32408.179832535574,32287.271095314223,33405.70803648677
2962.6216422394737,34750.56291633884,31768.362319751384,33742.59924998793,33013.16104324391
3046.3263816271187,33326.75086859107,30643.229396067713,33268.21495442995,33992.13606911346
2968.8529111312246,33194.27239785739,33130.953833255146,33249.3925773436,33199.72840450837
2959.993629256071,32054.589550745863,33049.61100652834,32529.934475506594,33318.668346472274
3029.076921878347,32276.200737374176,33496.839811175,32737.386871650895,32127.07077349609
3032.6984917418918,33134.29921163064,34334.814664105805,34995.23015687313,32776.633947235525
2959.869874842617,32635.36536580353,33780.90600355061,33717.381306934134,31007.520118694836
3167.2616259038305,33641.34207920121,31869.22494843334,32625.43101814997,32612.952857411536
2888.7842791536264,32727.198800784005,31794.897862303755,31670.210754821117,34258.61132072345
