Distances (columns correspond to number of iterations)
1,10001,20001,30001,40001
3031.122493868107,5869.272543311923,4432.677261484931,4137.523040497503,3904.279532423509
3193.262245812333,5420.82353593689,4527.15908254418,4036.2991515610665,3825.403088396552
2867.4293405692924,6135.694414824196,4657.482727560952,4204.4632375969695,3919.3078990029703
2938.154336288519,5540.862163389505,4717.230147146361,4008.3171574215935,3708.846646687283
3006.582422783185,6053.049143170041,4725.993521427686,4278.527837057634,3631.2430000754957
3028.015782551356,5914.902576055204,4854.720589411588,4302.52616347412,3817.9303962222666
3105.301856729378,5802.524196339797,4610.784108244642,4133.3855823784925,3915.6123192568693
3055.6038550529443,5687.411577481935,4672.242370789593,4265.092610410067,3853.5344668316584
2868.641223070817,5503.609252228044,4512.649949031447,4039.923912404689,3752.5210968473866
3064.75805614268,5626.608070243839,4606.985669694211,4018.4722001419495,3708.6569140300785
3020.1305645241473,6042.276557730649,4703.692485658732,3998.823260902334,3910.9823581088385
3173.5469595869004,5859.491821048401,4700.147733467199,4124.760997252667,3808.980691190512
3219.926719507304,5917.290348693783,4707.735378411749,4264.333914853914,3957.965072443942
3050.4309588228434,5749.900264426248,4530.786393956557,3941.2920760916577,3826.8017252043924
3110.52409004573,5855.49892027026,4918.199751779024,4077.690767990498,3704.834154876478
3275.095475065696,5928.078178415028,4515.3208268334765,4191.366362332643,3637.0553264990263
3335.3676851361874,5748.858189749924,4649.800615593705,4398.020822314001,3862.9051587794706
2904.949373941855,5876.396918539279,4438.419402717742,4199.383862870126,3768.3207402519824
2937.371777012361,5757.792975636246,4586.608616750208,4186.795724190344,3610.5114351698485
2994.317698462515,6353.171985287806,4633.594356058041,4258.768996701684,3743.5886092046308
2986.123555662687,5867.27808060161,4716.733617644941,4294.014940974289,3759.3889562186437
3066.203631883799,5853.563395977578,4792.02672634941,4286.630509522773,3842.3032167286374
3183.6938138815394,6001.967167835273,4633.449465869142,4185.831552262365,4073.04692556719
3115.2626898898834,6247.264469546081,4668.161226161934,4006.7854944822093,3794.3668925631014
2977.56252504525,5849.375243293046,4766.16810185229,4276.084043820624,3826.2706648071367
2957.474254532383,5762.282293574405,4553.492174426327,4241.919532067925,3648.4810475981044
2930.6216422394737,6095.171687627884,4614.606975374843,4130.407197142753,3764.682349992969
2962.2494508761965,5797.429200170503,4729.972141919019,4123.847151182018,3627.453864907774
2957.8857773848617,6117.355597642618,4644.893327377289,4112.3438735178825,3978.1113039595257
2846.0502029055338,5956.407590447704,4824.460233515286,4031.947221138532,3907.3057096255566
