Distances (columns correspond to number of iterations)
1,2001,4001,6001,8001,10001
3135.3677917288405,22676.324318235245,22188.673903958454,21063.676013905548,22305.83097545647,23921.683753098183
2874.3892521975654,21562.357292261437,21170.417561403527,22420.788341628155,21593.562603940372,22835.80948779887
2916.3286335461903,20577.859096400687,20724.909438559356,22679.717305932867,23037.25604016704,22354.608472776697
3151.4777015334103,22611.31699832077,22824.66205294213,24527.116805596313,22479.164188645213,23427.22730332557
3107.409625163578,21750.214818150595,21649.239448621945,22634.619093948164,20976.10308829316,22064.505080756342
2978.562821357079,22987.67841619564,22673.9294576384,21356.252266506344,22174.475199441647,20699.309745219
2981.5497686449376,22824.01198610456,23753.83506440661,21976.709349535435,22765.81795183278,20882.660888153096
3081.72028272201,21128.297501073237,20880.85722994995,21641.696388659326,22256.21332923129,21461.672274879587
3090.404411664252,23339.836738202117,21392.59963452515,22557.707898568773,21546.337978284446,21902.512008441547
3079.8653137232022,23762.15394291982,21699.86625057033,21723.977911610455,22396.090524696134,23422.659615547964
3110.387787226215,22039.866928410494,21877.894499901842,22780.555960334266,23006.25247946675,23101.85573945419
3187.6589662764536,23208.411989812943,22529.75800302056,23227.62922638802,22338.48577601831,22813.055364665277
3125.2098200505757,23120.267716101545,22240.774231337982,23376.79105960842,20576.039111731614,21575.252363232867
2862.0934694411544,22196.561257033558,22887.198126721687,22613.999512636856,23385.147808225196,24312.08899614644
3048.653594997433,24443.949125956762,21955.897468895848,22521.21619672168,22640.627160635184,20727.4505555073
2890.315434447937,22679.109194705063,22150.76641006041,21491.176040749197,22904.75018215514,23127.402913906593
3022.965961104793,23328.04301277083,21940.610542141643,21517.1968328068,22865.906032304552,22922.989568066805
3014.640075808583,23725.65133880538,22101.394733218058,23857.096690836996,21622.305163283454,23732.20695371632
3097.7555101706216,22689.54401033156,22316.390860039803,22531.21735858934,22284.78395276358,21217.308741876812
2882.621642239474,22859.865982426287,23151.605458380025,22676.645581065295,24130.46341873211,22242.733935021322
2900.934357947711,23824.012929926135,21843.984476899324,22934.0325949637,22612.434248543545,22631.112339045878
3049.9561491592517,22121.63492189897,23247.002872187175,21858.963061375354,23140.84581061512,23556.985940552706
3154.624789746978,24349.254937219433,22592.14580542105,22070.71767797941,22859.985700066794,22938.77987814644
2949.604319585218,22474.73005493264,23556.707274791293,23456.64159493274,23497.79946277909,22305.19116539464
2914.6515950566577,21121.575360847226,23715.619517566058,21636.04442576688,22292.52149804442,23191.25035794609
2953.446330849675,22521.9678087789,22854.970202105975,22034.704875664494,22395.7713577015,22756.39038648734
3043.6101749995164,21744.643073011142,20279.22235196047,23509.97333498327,22233.496027902765,23400.810726462583
2837.4835013309303,23015.66503921433,22864.860039947485,24255.524715852862,22415.78057765116,23310.082593754683
3079.691655004843,22971.615115760043,22171.14891580723,22434.3568923863,23743.900361782205,22582.11911881838
3025.856281867383,20087.038988379474,22713.240211824163,21676.830456938493,21643.38192485141,22261.30827880498
