Distances (columns correspond to number of iterations)
1,3501,7001,10501,14001,17501,21001,24501,28001
3613.832659817147,17904.81728705824,10928.71010048535,8650.54572497282,6510.461431828906,5465.791500591653,5209.936769862262,4711.909282662389,4324.67635201371
3354.144195240824,17577.836921018392,11207.549517899874,8208.151500726217,7048.674289616991,5873.273142421085,5224.589882823809,5087.11687653387,4420.570979330202
3364.7462875053316,18759.90432428311,11076.319925010219,8302.988123420051,6571.747172617723,5652.33636067853,5219.615689674942,4545.007382292544,4481.644482078386
3507.7291039500024,17664.478472141553,11605.00419552132,7999.436817597855,6624.663081894231,6074.785912755669,5325.230583125437,4640.755388290407,4402.905481660829
3473.404024507425,16360.484227744017,10621.610656811326,8476.637625985602,7228.42308724394,5989.513368120986,5434.887073841228,4683.88766621981,4655.687850366817
3642.298638689448,16725.71837018045,11041.42318454562,8576.341548538183,6776.763338419443,5668.72403802136,5127.265908722458,4859.044021370509,4487.955405960609
3396.458103203774,17126.5603807537,11500.023030867893,8160.201543789144,6432.170432034935,5978.7137408651415,5177.798652171259,4858.1153685633135,4326.772165315307
3558.9422785518154,16365.527878059402,10532.922476894099,8308.85435970922,6470.098981130921,5896.878677093305,5176.418344783171,4590.252349594994,4612.482105806293
3259.3049625504377,18383.208056560215,11766.9266519494,8027.316229790146,6922.275728125904,6040.64315660981,5094.749116776952,4764.050090823087,4429.470985152375
3523.6331443850872,18136.376479597842,10613.170621581836,8350.238944372048,6738.0572758756725,6139.605532825864,5240.439518747431,4819.199116679689,4438.634491172534
3336.5999312661347,17189.5948229317,11229.673532791718,7808.7753877565965,7009.858345057196,5970.882459463348,5443.254071089141,4857.235408800269,4643.297982938762
3742.0726378442014,16959.662106305208,11095.170075507996,7750.357379421807,6591.6216156181745,5829.3312899426455,5205.714754857185,4780.6960482803215,4559.0444696245795
3180.7159271309547,18029.378980248923,10965.546476068917,8342.606464177428,6434.3189994112245,5935.395044571867,5310.554240138331,4724.0662394880455,4452.262084745641
3701.672613339699,16397.828916856935,10960.439629840275,8690.053729593083,6479.5561600759875,6033.21240667542,5145.166101292179,4715.666073643643,4314.129412793139
3544.9129528828403,17998.035824502356,10559.21636435966,8169.891192890291,6650.867521400112,6025.245752093399,5011.180206933532,4521.921648379314,4487.735782653584
3989.3303727893554,17200.05098208943,11112.787310946327,8423.006515206238,6856.906612736148,5626.908311959503,5392.118369541395,4690.058523704448,4363.297133233689
3492.3916399703307,18173.05294671909,11862.689956379103,8543.369995805731,6863.459740173287,5710.172398118917,5282.636347629764,4725.2278706745665,4310.73575442296
3289.5752429617064,16923.813885366482,10667.15766277685,8061.106057280244,7040.249469982897,5961.718400824893,5304.464684776491,4729.648027854065,4290.9249523587205
3491.514562784965,17487.958085036786,11478.369657762996,8272.725899057185,6808.335945914581,5876.9334042308465,5190.3882213354,4704.944078508924,4217.779560708706
3147.026216833401,17137.66431416773,11244.322320780388,8777.716444621294,6905.735061131208,5163.463246963291,5092.271414707145,4625.177581181399,4125.83596300779
