Distances (columns correspond to number of iterations)
1,3501,7001,10501,14001,17501,21001,24501
3195.5565155648833,30644.913712904923,26170.588511272013,23966.24465475897,22106.48021276049,22758.956786514937,20891.769907165308,19491.899369869196
3453.848845239849,28383.287481629988,26360.077001571834,24215.48154942246,22182.43030103741,21373.75800261799,21328.220498490682,19174.694916800046
3655.751840393968,28812.385425423738,26975.843240442147,25411.9813509471,23190.31974244316,20578.56174097014,19565.769382767125,19510.67057842425
3268.9049513255895,29302.860130677713,27315.58816764553,23172.38203825474,24268.565722844985,21945.574861169214,20935.500815206793,19534.30080156508
3539.783679919468,28514.17477306971,27301.74600326661,23745.33613291414,22329.779353487593,21457.01312627108,21733.32138766578,20204.09561839986
3684.389929347006,30645.880085554007,25237.2433388304,25068.413522179613,22663.758680516166,23122.192827846437,21876.840799815116,19158.78219235735
3526.501606791754,28761.172899405872,25729.83317585602,24491.25744823717,23982.32606403106,22667.89485634995,20477.965107582266,19030.69749417027
3899.11472184285,28141.76329349644,26338.079693729283,24168.310694924065,23625.78449961514,23099.978992051834,21501.770055877754,20373.583473943097
3438.3001658321045,28989.52225256172,26008.7422947158,25333.584420678453,23529.16809777438,22383.283174144457,19584.990579046622,19969.33276869884
3437.9650124978816,30863.38018628261,27153.511830166553,24162.900026877007,23634.56205025012,20774.463741038286,19885.203353855533,19680.848909343655
3455.031878871185,29122.850804923568,27703.641141340195,25087.09527369414,23395.325285854342,22082.07619205921,20770.155720325245,19940.935751274184
3526.3762728366387,29216.81174593857,27599.797966066533,24586.481379450615,24658.64615918764,20064.563674592013,21659.215289215892,20501.77538080854
3936.183613170153,28679.24585747986,27178.42789381693,25136.46812759741,22067.21301036957,22461.65406126601,20526.308801250212,20287.281735178145
3740.208465957826,27750.53065908032,25064.55083196591,23918.588770447397,21480.369330638794,22433.458216870105,22054.60895397297,20661.720915534064
3137.079541678979,28617.890487257937,26977.905810687687,22616.756941555395,23653.92655789119,22034.78025481634,20698.739244451568,20254.775165696607
3330.111349441708,28311.682039361825,24287.605465886154,24894.261397744027,21788.363703804087,22350.7215481434,20707.455284092022,20586.11794577039
3288.286122910982,29102.86385517831,26300.956584633437,24138.72846208366,23865.30155937796,21812.705084829468,19900.17081090423,21378.09472028261
3771.237733514196,29589.035001631128,27441.996008338716,25021.560857891607,23468.130977762696,21010.602355387404,20771.39917767765,20270.178881895958
3403.227339767549,29931.344585893665,26803.223831521813,23625.652485046805,22679.823132056288,21512.926051922263,20052.913321965036,20445.42155619361
3339.157327107956,29537.495303352025,25951.445523201353,24132.902978596197,23992.38612719952,21986.392584501533,20256.842402294515,19820.518395324107
