Distances (columns correspond to number of iterations)
1,3501,7001,10501,14001,17501,21001,24501,28001
3098.0413453273354,35687.48346538397,33551.581514261736,33501.992286803674,33769.83320936826,33707.822782275456,34302.76262660685,34924.48819763477,33586.26539559826
3447.612184676992,33181.64694829598,34631.39322295466,35465.5263430353,32812.04961509936,34418.55779524439,33706.08837475832,33675.699249337864,30639.283481999344
3739.9020118257667,35210.58366619731,34434.437476193125,32484.26890637125,33761.80976438668,32582.759150505473,32767.59253524757,33406.001402290174,33157.231325644316
4012.184027523227,34257.36248551037,32909.59050314956,32010.69424119088,33108.46605717781,34026.78141753,31043.163387073764,34120.618617320855,32241.111474206904
3664.019882534328,33785.61662770747,34596.814467153315,32644.701247031626,32936.55886420882,32672.026116673962,32553.56514071154,32332.355806573727,33988.76151439402
3855.933286988157,34683.88387589903,33807.823535617834,33740.67003205811,33263.89436865074,33880.17529872497,33461.41546867707,32223.27584371451,32125.00466908751
3742.273087007549,35160.558059461655,33167.8479693879,33724.4722042373,34128.57747877093,35544.87269885673,32520.92246079662,33162.32870052688,33357.77672873815
3655.774914721797,33448.11350044698,32370.647468732608,33517.189401461495,32985.58630014158,31297.161538542492,32741.62037913285,32589.73668891844,31805.54884603545
3304.605612620983,32274.860259617126,33135.641138915504,33963.64563138942,33628.23522251371,32457.68256070127,33046.941973202694,33455.06953708877,34699.30235291966
3456.3453133438334,33358.637060167835,34792.5641378617,33327.216357581965,32788.419847726575,33889.67151606377,31960.84900482065,32817.40377265178,32648.541544664335
3765.731074940356,34099.33603390193,33710.689438521535,34016.14670279019,34593.90572880244,32118.36821476922,33423.938171463706,32006.923855272962,31933.728144032637
3346.493202093925,34237.22148594093,33786.70020399861,33942.80846958539,34249.62777176154,31307.086265155423,32256.367108340935,30990.319727932292,32702.77208685689
3212.153964868008,31486.905999266928,33407.00238760033,33692.4518957991,33014.01170668371,32564.871271485066,33464.638384963444,32925.23800296125,32869.900925373535
3425.80002656051,34301.504056147845,32743.84260743575,33465.72551432258,33426.96752238175,33972.977355802905,34266.64614935907,32851.50166918214,33380.24522683312
4002.7297679722697,32730.69038739353,34812.46922786917,34184.1204522682,34210.557600491964,32977.503201809704,33085.24380979333,33917.36223247674,32485.562414778662
3093.603506039352,34373.05021341964,34031.32368407906,34366.96461962954,32974.683347192804,32367.223017390977,33612.026197925705,32943.13697647122,32865.905948231775
3359.0575999241205,33858.84332536539,33527.43329280425,31831.383133152525,32486.817212203103,32803.53347299557,32992.655615440286,32393.408202818526,33081.80736921619
3451.629866865567,34587.6021103245,34707.037505133405,33678.34798583194,33466.16747072917,32890.65144085889,33434.04006180064,32409.127595959268,34985.17024413168
3474.842403878777,33904.089540572284,35242.61760672227,33446.34094813758,32492.28575200279,32753.55823637387,33175.94344523043,33129.591766692094,32494.074482552787
3530.914523802937,32908.44617620208,32799.834982608125,32925.553049116694,33182.696527864166,34295.56073758306,32240.800074548577,34030.21275238456,31620.988204325942
