Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001
3745.040833304997,31152.59180451084,19802.84648192764,5895.999279327865,4380.949748518486
3398.4433682061745,31736.993838612918,20004.7819740727,5769.355292223672,4341.002642295371
4041.4834952131305,30601.852545972914,18710.756347418934,5636.523755426951,4617.0095582464655
3957.5775017350707,30534.14241207209,19734.1412105191,5974.813944706103,4444.520232457579
3627.5368594512506,31213.499358048583,20267.83500367678,6050.914217185894,4458.427824097818
3733.573539149887,31459.576974435666,18889.97109202147,5935.910003265028,4475.21796774566
3614.88869672288,30481.97516237573,19080.98039734963,6125.3872673630385,4527.410145387969
3338.92119220483,31080.78833652061,19765.886685697613,6053.622405080592,4273.491801223585
3307.623099773352,31813.130605483228,19475.0996002029,5897.1435976117655,4539.4131713316365
3695.321717909981,31099.976816626495,19028.34904210498,6230.790583363981,4326.814131674441
3295.9124122944136,30804.71049209976,19746.790703992745,6007.889653898693,4240.6401861395925
3656.5495643925547,31500.70560086575,19643.130181272805,5711.081390317611,4507.721172264347
3674.132675125014,30177.969622364155,19304.44147690668,6395.4814579335725,4315.393352841053
3653.496620911375,31191.689518519357,18872.950847592616,5633.305993484933,4224.883069290062
3814.5345891920065,31217.835820528966,19819.799274050303,5845.814618880379,4249.3327386911715
3433.4171244471945,31515.440397845534,18473.20755552668,5727.297186984611,4586.876673139217
3586.3338464868816,30680.932231276696,20290.432373157124,6030.5961113631165,4480.480270576591
3701.5907783289103,30897.77380706393,19260.778990831226,6092.107533471475,4603.59550576155
3356.9630976561616,31058.11939500908,20693.307566831172,5930.809283829603,4319.275744408158
3460.0919096446705,30175.230085078754,20378.795301786347,5783.205560566843,4479.62226552992
