Distances (columns correspond to number of iterations)
1,5001,10001,15001,20001,25001,30001,35001,40001,45001
3133.433155312913,15238.519022042721,10132.837417503879,7474.458532320944,6658.923223268235,5636.335975772647,5442.111781443848,4633.160348981561,4545.835502603338,4373.582486511277
3217.4360398960007,16053.996561016862,9927.595310275357,7553.76525654122,6804.377516731855,5962.364533260598,5462.585222291947,4959.9022587912405,4559.220672114312,4456.193831684874
2876.9580111155105,15270.595452028343,9809.637406011103,7683.520285185819,6877.338752815361,6172.292089340822,5274.939122374036,4797.79015488959,4420.954520478137,4430.073623385856
2971.296256727836,16292.220261365464,10415.642877521688,7934.325047589579,6485.3252220520035,5732.761213101157,5340.814280165003,4947.574424125511,4660.884241540846,4472.840428169649
3103.443044741447,14763.1873773054,10347.753161971475,7885.472511400469,6938.929792199317,5754.900734502187,5522.179398309338,5028.087583917346,4921.503029234924,4509.631559783601
2827.782665742032,15728.464744368688,10208.067036465301,8069.343869303889,6345.908475434045,5939.7595453974045,5157.794912223745,4952.26771469354,4550.26123586455,4277.4778204357945
2895.9168725569994,14325.170553925287,10431.772467012444,7976.574394714626,6791.772340170019,5719.492103460617,5313.690158188045,4787.399030000779,4773.085943698949,4319.838012559673
3036.165059454118,15358.530478746003,10531.811616210434,8227.500999690707,6785.088702582244,6068.067780235043,5366.184120645724,4732.210268359111,4496.422994031044,4347.591066195848
3189.595081828758,15594.13350695575,10688.175837751156,7880.267657429552,6776.720686621267,5564.0949003039705,5191.664576623609,4950.498145229254,4451.895672366885,4315.669068325995
2876.3754309882393,15982.134689033554,9668.301444483828,7775.711270541565,6859.1553585027605,5821.097654808252,5152.340723738093,4973.733036768261,4696.482959686665,4514.868860749996
3126.8654214889425,15484.028400172365,10296.346661936954,8026.654533462409,6570.315681729987,5925.351032888824,5152.102390279661,4903.613027325233,4307.479263318105,4295.593914992419
2970.0387581547993,16328.397795376912,10391.801892007548,7825.544386986545,7323.315948408765,6025.257277724744,5515.827194837286,4927.704066960374,4653.177886000261,4272.984781404745
2917.999283054322,15662.367474726916,10772.722623342863,8001.487030354248,6714.697667403434,5605.652009478246,5263.949104000924,5066.762061796887,4660.90813743406,4213.759312292928
3105.245229769388,15208.219637662227,10087.847997576837,7939.958477523341,6914.37240646183,5757.579410534534,5049.319997745029,4957.564003344957,4555.0115041215595,4452.549238241964
3100.8561064599,16180.968820492433,10108.049524048327,7811.86660552174,6836.690259200395,5931.991600078994,5407.949476810455,4974.801059015811,4787.42701290724,4183.975650763949
3057.874254868337,15931.767916431652,10837.936023808517,7495.64845875344,6549.0280393635885,5879.837496144803,5518.107743649066,4863.1645621983835,4704.263747337556,4313.214520061384
2881.268662260615,15309.796732889581,10538.106620789744,8009.7933526513525,6872.555543280013,5901.19918503775,5261.0322362245415,4980.653411297242,4589.471939575245,4502.6808106377375
3253.271814664259,16149.126670003847,9808.42352732675,7787.05996467294,6468.896509292249,6230.258375154354,5258.003938951948,4961.583238599298,4695.830308702761,4266.953664977681
3105.305303146411,15915.259050549354,10200.228262916737,7682.044951989614,6540.304802594033,6065.873691791287,4980.413603043467,4972.050370939722,4438.2583807456585,4518.897489846283
3011.3947447931573,15880.746893205678,9937.587512302443,7932.400682032739,6503.7764739993,5591.295526207997,5493.094738183711,5276.656509025774,4541.655064097856,4304.200655789923
2891.4137983482165,14802.229334444271,9904.616780802407,8167.716468822458,6946.646497053677,5815.66129508791,5389.451201586995,4894.869690469796,4323.8002778083555,4436.120343870862
2979.7816935965157,14960.26959086454,10610.496154607887,7635.683724467255,6552.730331389364,6067.20567036334,5473.829076762562,4994.023429837306,4634.872532491305,4302.607865148778
3202.5965113330835,15946.18320822167,10279.694413170706,7707.354456334496,6742.4752091189985,5971.3097326472425,5370.551629923352,4907.137318006226,4555.839192651462,4229.281698599709
3097.801493306317,16317.81822911566,10562.246495021614,7855.338391824159,6738.226080840749,5785.71245983092,5451.745705072758,4831.842504556018,4516.206958391681,4334.6817992854885
3324.1578346556857,16163.813536117044,10144.472762888332,8144.7244667932955,6615.3125387365535,5717.443865959271,5482.641470947016,4907.66806737656,4633.4491810792015,4308.535246191161
3088.6591161719675,15278.384228327477,10305.109663786488,7717.430662631321,7136.7230141435675,5610.85048511807,5158.654727946176,4541.441613598528,4718.2965677199445,4295.091703230923
3083.48339566124,15854.9270298286,10195.460690493743,8752.064229335836,6520.524819075466,6136.794610488782,5406.8158545283195,5045.873975032323,4721.979417945171,4323.729582207825
2932.131863759523,16582.817460602353,10715.592540477426,7663.611239996559,6502.522032557305,6109.0207337672955,5539.388626500506,4997.854853434233,4699.57262038658,4324.191955039243
2998.76311948794,15009.25170346546,10316.14825640145,8224.476853617063,6350.4801994176205,5582.875839656455,5352.826689711968,5114.164698564495,4637.746719314384,4340.5137241192
3158.7667528984066,15689.660969173865,9483.470130983163,7488.320242106135,6698.593317343835,5976.083298251404,5339.578975426995,4548.297235311638,4696.436355685835,4262.840468560335
